Tarih,TP_ODEMGZS_DAFRIKA
2014-11-01,8803.0
2014-12-01,7608.0
2015-01-01,5887.0
2015-02-01,5992.0
2015-03-01,7464.0
2015-04-01,7698.0
2015-05-01,9177.0
2015-06-01,10494.0
2015-07-01,9109.0
2015-08-01,10842.0
2015-09-01,9143.0
2015-10-01,9473.0
2015-11-01,8688.0
2015-12-01,7994.0
2016-01-01,6311.0
2016-02-01,6011.0
2016-03-01,6533.0
2016-04-01,7449.0
2016-05-01,8981.0
2016-06-01,9148.0
2016-07-01,7285.0
2016-08-01,7684.0
2016-09-01,7439.0
2016-10-01,7988.0
2016-11-01,8573.0
2016-12-01,7681.0
2017-01-01,7148.0
2017-02-01,5257.0
2017-03-01,6289.0
2017-04-01,7662.0
2017-05-01,8291.0
2017-06-01,8879.0
2017-07-01,9208.0
2017-08-01,10105.0
2017-09-01,9289.0
2017-10-01,9681.0
2017-11-01,10029.0
2017-12-01,9958.0
2018-01-01,7784.0
2018-02-01,7531.0
2018-03-01,9286.0
2018-04-01,9812.0
2018-05-01,10780.0
2018-06-01,10169.0
2018-07-01,11121.0
2018-08-01,11516.0
2018-09-01,11556.0
2018-10-01,12264.0
2018-11-01,12702.0
2018-12-01,12400.0
2019-01-01,9634.0
2019-02-01,9634.0
2019-03-01,11777.0
2019-04-01,13718.0
2019-05-01,13553.0
2019-06-01,13722.0
2019-07-01,16156.0
2019-08-01,17379.0
2019-09-01,17392.0
2019-10-01,16235.0
2019-11-01,17141.0
2019-12-01,17261.0
2020-01-01,14424.0
2020-02-01,14814.0
2020-03-01,9708.0
2020-04-01,172.0
2020-05-01,78.0
2020-06-01,855.0
2020-07-01,2492.0
2020-08-01,4890.0
2020-09-01,7656.0
2020-10-01,8502.0
2020-11-01,9846.0
2020-12-01,10608.0
2021-01-01,8460.0
2021-02-01,9243.0
2021-03-01,11745.0
2021-04-01,13335.0
2021-05-01,9344.0
2021-06-01,14568.0
2021-07-01,16811.0
2021-08-01,20257.0
2021-09-01,20876.0
2021-10-01,21911.0
2021-11-01,22485.0
2021-12-01,22847.0
2022-01-01,17464.0
2022-02-01,18111.0
2022-03-01,22680.0
2022-04-01,21079.0
2022-05-01,20687.0
2022-06-01,25343.0
2022-07-01,21668.0
2022-08-01,24840.0
2022-09-01,22742.0
2022-10-01,20841.0
2022-11-01,22691.0
2022-12-01,21413.0
2023-01-01,18722.0
2023-02-01,16972.0
2023-03-01,17757.0
2023-04-01,15733.0
2023-05-01,18145.0
2023-06-01,19997.0
2023-07-01,18951.0
2023-08-01,24036.0
2023-09-01,21291.0
2023-10-01,20502.0
2023-11-01,18785.0
2023-12-01,17232.0
2024-01-01,14410.0
2024-02-01,14909.0
2024-03-01,15109.0
2024-04-01,14405.0
2024-05-01,16952.0
2024-06-01,16977.0
2024-07-01,18824.0
2024-08-01,20948.0
2024-09-01,22921.0
2024-10-01,17825.0
2024-11-01,17043.0
2024-12-01,16091.0
2025-01-01,13729.0
2025-02-01,13326.0
2025-03-01,12245.0
2025-04-01,14641.0
2025-05-01,18895.0
2025-06-01,16433.0
2025-07-01,17792.0
2025-08-01,19980.0
