Tarih,TP_ODEMGZS_GAFRIKA
2015-02-01,1616.0
2015-03-01,2044.0
2015-04-01,3418.0
2015-05-01,5591.0
2015-06-01,6088.0
2015-07-01,7105.0
2015-08-01,4762.0
2015-09-01,4994.0
2015-10-01,5439.0
2015-11-01,2204.0
2015-12-01,2267.0
2016-01-01,2392.0
2016-02-01,1251.0
2016-03-01,1932.0
2016-04-01,2244.0
2016-05-01,3059.0
2016-06-01,3219.0
2016-07-01,3805.0
2016-08-01,2207.0
2016-09-01,2760.0
2016-10-01,2859.0
2016-11-01,1572.0
2016-12-01,1887.0
2017-01-01,2299.0
2017-02-01,1127.0
2017-03-01,1543.0
2017-04-01,3115.0
2017-05-01,2590.0
2017-06-01,2539.0
2017-07-01,5139.0
2017-08-01,3262.0
2017-09-01,3964.0
2017-10-01,3792.0
2017-11-01,2018.0
2017-12-01,2824.0
2018-01-01,3184.0
2018-02-01,1775.0
2018-03-01,2430.0
2018-04-01,4442.0
2018-05-01,4042.0
2018-06-01,4507.0
2018-07-01,7466.0
2018-08-01,4522.0
2018-09-01,6523.0
2018-10-01,5955.0
2018-11-01,2655.0
2018-12-01,4092.0
2019-01-01,4011.0
2019-02-01,1923.0
2019-03-01,4278.0
2019-04-01,5411.0
2019-05-01,5000.0
2019-06-01,9861.0
2019-07-01,10794.0
2019-08-01,6717.0
2019-09-01,9840.0
2019-10-01,8386.0
2019-11-01,3410.0
2019-12-01,4313.0
2020-01-01,5134.0
2020-02-01,2755.0
2020-03-01,1914.0
2020-04-01,3.0
2020-05-01,65.0
2020-06-01,21.0
2020-07-01,207.0
2020-08-01,610.0
2020-09-01,707.0
2020-10-01,941.0
2020-11-01,941.0
2020-12-01,872.0
2021-01-01,348.0
2021-02-01,194.0
2021-03-01,220.0
2021-04-01,311.0
2021-05-01,249.0
2021-06-01,384.0
2021-07-01,759.0
2021-08-01,745.0
2021-09-01,633.0
2021-10-01,809.0
2021-11-01,774.0
2021-12-01,614.0
2022-01-01,940.0
2022-02-01,2184.0
2022-03-01,4662.0
2022-04-01,3762.0
2022-05-01,5283.0
2022-06-01,6527.0
2022-07-01,10413.0
2022-08-01,7008.0
2022-09-01,8443.0
2022-10-01,10772.0
2022-11-01,4868.0
2022-12-01,4443.0
2023-01-01,5605.0
2023-02-01,2791.0
2023-03-01,3093.0
2023-04-01,4709.0
2023-05-01,5724.0
2023-06-01,6701.0
2023-07-01,9244.0
2023-08-01,5975.0
2023-09-01,7572.0
2023-10-01,8842.0
2023-11-01,4066.0
2023-12-01,4032.0
2024-01-01,4707.0
2024-02-01,2266.0
2024-03-01,2889.0
2024-04-01,4285.0
2024-05-01,6237.0
2024-06-01,8043.0
2024-07-01,9348.0
2024-08-01,7244.0
2024-09-01,9495.0
2024-10-01,8101.0
2024-11-01,3726.0
2024-12-01,3942.0
2025-01-01,4512.0
2025-02-01,2501.0
2025-03-01,2457.0
2025-04-01,5479.0
2025-05-01,7353.0
2025-06-01,6719.0
2025-07-01,10135.0
2025-08-01,6928.0
