Tarih,TP_ODEMGZS_KATAR
2015-04-01,4947.0
2015-05-01,2118.0
2015-06-01,1334.0
2015-07-01,2322.0
2015-08-01,8663.0
2015-09-01,4013.0
2015-10-01,2035.0
2015-11-01,1020.0
2015-12-01,1645.0
2016-01-01,2860.0
2016-02-01,4501.0
2016-03-01,1101.0
2016-04-01,4054.0
2016-05-01,1884.0
2016-06-01,761.0
2016-07-01,2458.0
2016-08-01,5242.0
2016-09-01,5321.0
2016-10-01,1449.0
2016-11-01,1277.0
2016-12-01,2096.0
2017-01-01,2733.0
2017-02-01,3633.0
2017-03-01,1346.0
2017-04-01,5734.0
2017-05-01,2550.0
2017-06-01,602.0
2017-07-01,4436.0
2017-08-01,9705.0
2017-09-01,7868.0
2017-10-01,2473.0
2017-11-01,2696.0
2017-12-01,4345.0
2018-01-01,7383.0
2018-02-01,8899.0
2018-03-01,3610.0
2018-04-01,6563.0
2018-05-01,3276.0
2018-06-01,4534.0
2018-07-01,11205.0
2018-08-01,24477.0
2018-09-01,5942.0
2018-10-01,4115.0
2018-11-01,3527.0
2018-12-01,6796.0
2019-01-01,11799.0
2019-02-01,5835.0
2019-03-01,5439.0
2019-04-01,12964.0
2019-05-01,2571.0
2019-06-01,5775.0
2019-07-01,14378.0
2019-08-01,27541.0
2019-09-01,4420.0
2019-10-01,4649.0
2019-11-01,4766.0
2019-12-01,8359.0
2020-01-01,11539.0
2020-02-01,5778.0
2020-03-01,2490.0
2020-04-01,71.0
2020-05-01,3.0
2020-06-01,54.0
2020-07-01,520.0
2020-08-01,5899.0
2020-09-01,3828.0
2020-10-01,3091.0
2020-11-01,3317.0
2020-12-01,1728.0
2021-01-01,1245.0
2021-02-01,486.0
2021-03-01,1899.0
2021-04-01,3189.0
2021-05-01,1604.0
2021-06-01,5370.0
2021-07-01,19991.0
2021-08-01,25993.0
2021-09-01,5359.0
2021-10-01,3961.0
2021-11-01,3437.0
2021-12-01,7049.0
2022-01-01,7583.0
2022-02-01,4204.0
2022-03-01,9135.0
2022-04-01,1077.0
2022-05-01,7071.0
2022-06-01,8624.0
2022-07-01,26878.0
2022-08-01,13900.0
2022-09-01,3056.0
2022-10-01,3167.0
2022-11-01,2451.0
2022-12-01,8291.0
2023-01-01,5837.0
2023-02-01,3415.0
2023-03-01,3162.0
2023-04-01,2766.0
2023-05-01,3631.0
2023-06-01,4944.0
2023-07-01,16941.0
2023-08-01,16093.0
2023-09-01,2952.0
2023-10-01,3276.0
2023-11-01,1859.0
2023-12-01,3514.0
2024-01-01,6623.0
2024-02-01,2923.0
2024-03-01,1821.0
2024-04-01,3576.0
2024-05-01,3084.0
2024-06-01,5028.0
2024-07-01,10188.0
2024-08-01,12534.0
2024-09-01,2515.0
2024-10-01,2455.0
2024-11-01,3445.0
2024-12-01,4120.0
2025-01-01,6227.0
2025-02-01,3626.0
2025-03-01,564.0
2025-04-01,4628.0
2025-05-01,3133.0
2025-06-01,3939.0
2025-07-01,6790.0
2025-08-01,11921.0
