Tarih,TP_ODEMGZS_CEKCUMHURIYETI
2015-01-01,2803.0
2015-02-01,3666.0
2015-03-01,4701.0
2015-04-01,5126.0
2015-05-01,11241.0
2015-06-01,34199.0
2015-07-01,48275.0
2015-08-01,40313.0
2015-09-01,36278.0
2015-10-01,17097.0
2015-11-01,5754.0
2015-12-01,3235.0
2016-01-01,2893.0
2016-02-01,3021.0
2016-03-01,4080.0
2016-04-01,3368.0
2016-05-01,4520.0
2016-06-01,11424.0
2016-07-01,16543.0
2016-08-01,13863.0
2016-09-01,14056.0
2016-10-01,8818.0
2016-11-01,3212.0
2016-12-01,2093.0
2017-01-01,1865.0
2017-02-01,2375.0
2017-03-01,2761.0
2017-04-01,2901.0
2017-05-01,4558.0
2017-06-01,16209.0
2017-07-01,26575.0
2017-08-01,24821.0
2017-09-01,26520.0
2017-10-01,12012.0
2017-11-01,3444.0
2017-12-01,2440.0
2018-01-01,2106.0
2018-02-01,2752.0
2018-03-01,3513.0
2018-04-01,4089.0
2018-05-01,7007.0
2018-06-01,35703.0
2018-07-01,50380.0
2018-08-01,47919.0
2018-09-01,46909.0
2018-10-01,19124.0
2018-11-01,5433.0
2018-12-01,2863.0
2019-01-01,2524.0
2019-02-01,3167.0
2019-03-01,4695.0
2019-04-01,4485.0
2019-05-01,12137.0
2019-06-01,50171.0
2019-07-01,73396.0
2019-08-01,65597.0
2019-09-01,58601.0
2019-10-01,27206.0
2019-11-01,6662.0
2019-12-01,2701.0
2020-01-01,2477.0
2020-02-01,3097.0
2020-03-01,2120.0
2020-04-01,35.0
2020-05-01,43.0
2020-06-01,218.0
2020-07-01,647.0
2020-08-01,1375.0
2020-09-01,1582.0
2020-10-01,1478.0
2020-11-01,1690.0
2020-12-01,1058.0
2021-01-01,889.0
2021-02-01,804.0
2021-03-01,1257.0
2021-04-01,1571.0
2021-05-01,1479.0
2021-06-01,5923.0
2021-07-01,17405.0
2021-08-01,20769.0
2021-09-01,19727.0
2021-10-01,13588.0
2021-11-01,3963.0
2021-12-01,2116.0
2022-01-01,2226.0
2022-02-01,2639.0
2022-03-01,3554.0
2022-04-01,4911.0
2022-05-01,11013.0
2022-06-01,44374.0
2022-07-01,75195.0
2022-08-01,66986.0
2022-09-01,48720.0
2022-10-01,25810.0
2022-11-01,6588.0
2022-12-01,3412.0
2023-01-01,3332.0
2023-02-01,3998.0
2023-03-01,5200.0
2023-04-01,6331.0
2023-05-01,14847.0
2023-06-01,55917.0
2023-07-01,88881.0
2023-08-01,82459.0
2023-09-01,72573.0
2023-10-01,37294.0
2023-11-01,8523.0
2023-12-01,4563.0
2024-01-01,4557.0
2024-02-01,6784.0
2024-03-01,6638.0
2024-04-01,7597.0
2024-05-01,17421.0
2024-06-01,70397.0
2024-07-01,91302.0
2024-08-01,84583.0
2024-09-01,69951.0
2024-10-01,35070.0
2024-11-01,11525.0
2024-12-01,4351.0
2025-01-01,4859.0
2025-02-01,5689.0
2025-03-01,7158.0
2025-04-01,7895.0
2025-05-01,23843.0
2025-06-01,65751.0
2025-07-01,83516.0
2025-08-01,80386.0
