Tarih,TP_ODEMGZS_AVUSTRALYA
2014-11-01,8458.0
2014-12-01,5080.0
2015-01-01,5784.0
2015-02-01,3350.0
2015-03-01,3891.0
2015-04-01,40600.0
2015-05-01,20659.0
2015-06-01,29859.0
2015-07-01,29606.0
2015-08-01,27281.0
2015-09-01,31365.0
2015-10-01,22748.0
2015-11-01,7346.0
2015-12-01,4141.0
2016-01-01,5034.0
2016-02-01,2771.0
2016-03-01,3212.0
2016-04-01,6916.0
2016-05-01,13367.0
2016-06-01,15757.0
2016-07-01,12304.0
2016-08-01,10062.0
2016-09-01,12330.0
2016-10-01,9906.0
2016-11-01,4111.0
2016-12-01,3149.0
2017-01-01,3480.0
2017-02-01,2290.0
2017-03-01,2295.0
2017-04-01,3943.0
2017-05-01,5402.0
2017-06-01,6709.0
2017-07-01,11716.0
2017-08-01,11195.0
2017-09-01,11999.0
2017-10-01,10125.0
2017-11-01,4626.0
2017-12-01,4014.0
2018-01-01,4396.0
2018-02-01,2964.0
2018-03-01,3047.0
2018-04-01,5670.0
2018-05-01,6333.0
2018-06-01,8693.0
2018-07-01,14288.0
2018-08-01,13527.0
2018-09-01,14748.0
2018-10-01,12028.0
2018-11-01,5770.0
2018-12-01,5026.0
2019-01-01,5809.0
2019-02-01,3413.0
2019-03-01,3688.0
2019-04-01,7836.0
2019-05-01,9173.0
2019-06-01,12022.0
2019-07-01,17737.0
2019-08-01,16243.0
2019-09-01,18230.0
2019-10-01,14653.0
2019-11-01,7551.0
2019-12-01,5437.0
2020-01-01,6265.0
2020-02-01,3819.0
2020-03-01,2666.0
2020-04-01,43.0
2020-05-01,118.0
2020-06-01,218.0
2020-07-01,291.0
2020-08-01,621.0
2020-09-01,1011.0
2020-10-01,956.0
2020-11-01,622.0
2020-12-01,649.0
2021-01-01,430.0
2021-02-01,403.0
2021-03-01,503.0
2021-04-01,673.0
2021-05-01,615.0
2021-06-01,636.0
2021-07-01,1234.0
2021-08-01,1383.0
2021-09-01,1276.0
2021-10-01,2338.0
2021-11-01,1954.0
2021-12-01,2698.0
2022-01-01,3799.0
2022-02-01,2866.0
2022-03-01,3590.0
2022-04-01,4267.0
2022-05-01,6914.0
2022-06-01,11050.0
2022-07-01,15992.0
2022-08-01,18324.0
2022-09-01,18174.0
2022-10-01,17142.0
2022-11-01,11135.0
2022-12-01,6214.0
2023-01-01,6402.0
2023-02-01,5064.0
2023-03-01,5719.0
2023-04-01,9712.0
2023-05-01,16777.0
2023-06-01,20875.0
2023-07-01,27104.0
2023-08-01,27332.0
2023-09-01,29614.0
2023-10-01,25758.0
2023-11-01,12515.0
2023-12-01,7217.0
2024-01-01,7119.0
2024-02-01,4948.0
2024-03-01,5645.0
2024-04-01,9619.0
2024-05-01,20007.0
2024-06-01,23189.0
2024-07-01,28837.0
2024-08-01,27993.0
2024-09-01,31088.0
2024-10-01,28720.0
2024-11-01,10876.0
2024-12-01,8824.0
2025-01-01,10265.0
2025-02-01,5754.0
2025-03-01,4842.0
2025-04-01,12378.0
2025-05-01,22819.0
2025-06-01,25954.0
2025-07-01,26226.0
2025-08-01,28496.0
