Tarih,TP_ODEMGZS_UKRAYNA
2015-01-01,25365.0
2015-02-01,23080.0
2015-03-01,25663.0
2015-04-01,30620.0
2015-05-01,68255.0
2015-06-01,85663.0
2015-07-01,101186.0
2015-08-01,107480.0
2015-09-01,99727.0
2015-10-01,75868.0
2015-11-01,34646.0
2015-12-01,27709.0
2016-01-01,29823.0
2016-02-01,27176.0
2016-03-01,32530.0
2016-04-01,38516.0
2016-05-01,98069.0
2016-06-01,144076.0
2016-07-01,177410.0
2016-08-01,174977.0
2016-09-01,155173.0
2016-10-01,101759.0
2016-11-01,34475.0
2016-12-01,29967.0
2017-01-01,30051.0
2017-02-01,28492.0
2017-03-01,36908.0
2017-04-01,41300.0
2017-05-01,136406.0
2017-06-01,200492.0
2017-07-01,220731.0
2017-08-01,202612.0
2017-09-01,180804.0
2017-10-01,129887.0
2017-11-01,41591.0
2017-12-01,34779.0
2018-01-01,33934.0
2018-02-01,32538.0
2018-03-01,43457.0
2018-04-01,51699.0
2018-05-01,165818.0
2018-06-01,234081.0
2018-07-01,218372.0
2018-08-01,183635.0
2018-09-01,184597.0
2018-10-01,146514.0
2018-11-01,53124.0
2018-12-01,39960.0
2019-01-01,38917.0
2019-02-01,37255.0
2019-03-01,47009.0
2019-04-01,56300.0
2019-05-01,182017.0
2019-06-01,231245.0
2019-07-01,236442.0
2019-08-01,228759.0
2019-09-01,221325.0
2019-10-01,172975.0
2019-11-01,54512.0
2019-12-01,38831.0
2020-01-01,42550.0
2020-02-01,38009.0
2020-03-01,26439.0
2020-04-01,1904.0
2020-05-01,2760.0
2020-06-01,5849.0
2020-07-01,100026.0
2020-08-01,248319.0
2020-09-01,250157.0
2020-10-01,201580.0
2020-11-01,46869.0
2020-12-01,29660.0
2021-01-01,31889.0
2021-02-01,28706.0
2021-03-01,47453.0
2021-04-01,56951.0
2021-05-01,190956.0
2021-06-01,327926.0
2021-07-01,358709.0
2021-08-01,335813.0
2021-09-01,304378.0
2021-10-01,273543.0
2021-11-01,62615.0
2021-12-01,37663.0
2022-01-01,40920.0
2022-02-01,32430.0
2022-03-01,31661.0
2022-04-01,36863.0
2022-05-01,50800.0
2022-06-01,64041.0
2022-07-01,69892.0
2022-08-01,74233.0
2022-09-01,73957.0
2022-10-01,72627.0
2022-11-01,48998.0
2022-12-01,45521.0
2023-01-01,42566.0
2023-02-01,40886.0
2023-03-01,48030.0
2023-04-01,50614.0
2023-05-01,67079.0
2023-06-01,92346.0
2023-07-01,107622.0
2023-08-01,112150.0
2023-09-01,100589.0
2023-10-01,96960.0
2023-11-01,52829.0
2023-12-01,45389.0
2024-01-01,42333.0
2024-02-01,42614.0
2024-03-01,50821.0
2024-04-01,57623.0
2024-05-01,80654.0
2024-06-01,109586.0
2024-07-01,123023.0
2024-08-01,119491.0
2024-09-01,108984.0
2024-10-01,107665.0
2024-11-01,57882.0
2024-12-01,44850.0
2025-01-01,42690.0
2025-02-01,39457.0
2025-03-01,48072.0
2025-04-01,50233.0
2025-05-01,88453.0
2025-06-01,125169.0
2025-07-01,141027.0
2025-08-01,137946.0
