Tarih,TP_ODEMGZS_ISPANYA
2014-11-01,18001.0
2014-12-01,16033.0
2015-01-01,13047.0
2015-02-01,11420.0
2015-03-01,16313.0
2015-04-01,23656.0
2015-05-01,21441.0
2015-06-01,24679.0
2015-07-01,29343.0
2015-08-01,37602.0
2015-09-01,20342.0
2015-10-01,19451.0
2015-11-01,12025.0
2015-12-01,9418.0
2016-01-01,8392.0
2016-02-01,7102.0
2016-03-01,9907.0
2016-04-01,8155.0
2016-05-01,9475.0
2016-06-01,10240.0
2016-07-01,9703.0
2016-08-01,14589.0
2016-09-01,8399.0
2016-10-01,8248.0
2016-11-01,6702.0
2016-12-01,7113.0
2017-01-01,5586.0
2017-02-01,4839.0
2017-03-01,6519.0
2017-04-01,8766.0
2017-05-01,7893.0
2017-06-01,7598.0
2017-07-01,10370.0
2017-08-01,13931.0
2017-09-01,10029.0
2017-10-01,10771.0
2017-11-01,9659.0
2017-12-01,10663.0
2018-01-01,9719.0
2018-02-01,8356.0
2018-03-01,10854.0
2018-04-01,14414.0
2018-05-01,13099.0
2018-06-01,12144.0
2018-07-01,15287.0
2018-08-01,22835.0
2018-09-01,18136.0
2018-10-01,19302.0
2018-11-01,16946.0
2018-12-01,15713.0
2019-01-01,13889.0
2019-02-01,11167.0
2019-03-01,14926.0
2019-04-01,23141.0
2019-05-01,23142.0
2019-06-01,19832.0
2019-07-01,25195.0
2019-08-01,37875.0
2019-09-01,28092.0
2019-10-01,24409.0
2019-11-01,19000.0
2019-12-01,17550.0
2020-01-01,15610.0
2020-02-01,12787.0
2020-03-01,7673.0
2020-04-01,79.0
2020-05-01,47.0
2020-06-01,221.0
2020-07-01,1774.0
2020-08-01,3895.0
2020-09-01,4449.0
2020-10-01,4824.0
2020-11-01,3463.0
2020-12-01,3522.0
2021-01-01,2681.0
2021-02-01,2231.0
2021-03-01,3101.0
2021-04-01,4679.0
2021-05-01,3621.0
2021-06-01,5205.0
2021-07-01,8174.0
2021-08-01,15028.0
2021-09-01,12500.0
2021-10-01,16078.0
2021-11-01,14080.0
2021-12-01,15751.0
2022-01-01,10581.0
2022-02-01,10091.0
2022-03-01,13966.0
2022-04-01,22195.0
2022-05-01,21354.0
2022-06-01,23594.0
2022-07-01,32165.0
2022-08-01,48942.0
2022-09-01,35779.0
2022-10-01,34768.0
2022-11-01,24259.0
2022-12-01,20170.0
2023-01-01,15960.0
2023-02-01,13242.0
2023-03-01,17450.0
2023-04-01,25043.0
2023-05-01,27478.0
2023-06-01,27733.0
2023-07-01,31910.0
2023-08-01,50023.0
2023-09-01,34255.0
2023-10-01,35648.0
2023-11-01,24255.0
2023-12-01,22486.0
2024-01-01,17896.0
2024-02-01,17103.0
2024-03-01,25998.0
2024-04-01,24426.0
2024-05-01,27321.0
2024-06-01,34808.0
2024-07-01,45490.0
2024-08-01,59944.0
2024-09-01,42078.0
2024-10-01,33675.0
2024-11-01,27866.0
2024-12-01,25667.0
2025-01-01,23351.0
2025-02-01,20442.0
2025-03-01,28169.0
2025-04-01,33678.0
2025-05-01,36429.0
2025-06-01,39848.0
2025-07-01,40925.0
2025-08-01,68105.0
