Tarih,TP_ODEMGZS_BAE
2014-12-01,5242.0
2015-01-01,6773.0
2015-02-01,1846.0
2015-03-01,1868.0
2015-04-01,9733.0
2015-05-01,2869.0
2015-06-01,2042.0
2015-07-01,2880.0
2015-08-01,11727.0
2015-09-01,3248.0
2015-10-01,2375.0
2015-11-01,1476.0
2015-12-01,5514.0
2016-01-01,5510.0
2016-02-01,1546.0
2016-03-01,1723.0
2016-04-01,7714.0
2016-05-01,2841.0
2016-06-01,808.0
2016-07-01,3152.0
2016-08-01,3040.0
2016-09-01,3311.0
2016-10-01,2061.0
2016-11-01,1601.0
2016-12-01,5324.0
2017-01-01,4342.0
2017-02-01,986.0
2017-03-01,2346.0
2017-04-01,8268.0
2017-05-01,3449.0
2017-06-01,830.0
2017-07-01,5864.0
2017-08-01,8812.0
2017-09-01,4425.0
2017-10-01,2005.0
2017-11-01,2051.0
2017-12-01,5910.0
2018-01-01,5216.0
2018-02-01,1474.0
2018-03-01,3046.0
2018-04-01,7135.0
2018-05-01,1952.0
2018-06-01,993.0
2018-07-01,3971.0
2018-08-01,10336.0
2018-09-01,2963.0
2018-10-01,1556.0
2018-11-01,1651.0
2018-12-01,3333.0
2019-01-01,5324.0
2019-02-01,1358.0
2019-03-01,1693.0
2019-04-01,7687.0
2019-05-01,542.0
2019-06-01,1636.0
2019-07-01,3134.0
2019-08-01,8787.0
2019-09-01,1861.0
2019-10-01,1327.0
2019-11-01,1165.0
2019-12-01,3127.0
2020-01-01,4062.0
2020-02-01,894.0
2020-03-01,435.0
2020-04-01,6.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,8.0
2020-08-01,82.0
2020-09-01,130.0
2020-10-01,190.0
2020-11-01,242.0
2020-12-01,326.0
2021-01-01,518.0
2021-02-01,321.0
2021-03-01,952.0
2021-04-01,2973.0
2021-05-01,422.0
2021-06-01,1519.0
2021-07-01,5935.0
2021-08-01,11068.0
2021-09-01,2904.0
2021-10-01,3989.0
2021-11-01,3652.0
2021-12-01,13121.0
2022-01-01,8450.0
2022-02-01,3405.0
2022-03-01,7922.0
2022-04-01,4036.0
2022-05-01,11868.0
2022-06-01,8803.0
2022-07-01,26693.0
2022-08-01,37998.0
2022-09-01,7113.0
2022-10-01,7678.0
2022-11-01,5990.0
2022-12-01,16702.0
2023-01-01,10299.0
2023-02-01,4145.0
2023-03-01,2584.0
2023-04-01,3318.0
2023-05-01,8789.0
2023-06-01,11309.0
2023-07-01,28638.0
2023-08-01,31351.0
2023-09-01,4122.0
2023-10-01,3865.0
2023-11-01,2706.0
2023-12-01,11129.0
2024-01-01,7377.0
2024-02-01,4791.0
2024-03-01,3249.0
2024-04-01,7635.0
2024-05-01,7160.0
2024-06-01,10452.0
2024-07-01,12762.0
2024-08-01,18841.0
2024-09-01,4114.0
2024-10-01,6619.0
2024-11-01,4346.0
2024-12-01,11213.0
2025-01-01,9249.0
2025-02-01,5922.0
2025-03-01,523.0
2025-04-01,10039.0
2025-05-01,6360.0
2025-06-01,7348.0
2025-07-01,12294.0
2025-08-01,19935.0
