Tarih,TP_ODEMGZS_VENEZUELLA
2015-07-01,875.0
2015-08-01,830.0
2015-09-01,715.0
2015-10-01,536.0
2015-11-01,395.0
2015-12-01,284.0
2016-01-01,352.0
2016-02-01,200.0
2016-03-01,279.0
2016-04-01,338.0
2016-05-01,512.0
2016-06-01,479.0
2016-07-01,418.0
2016-08-01,563.0
2016-09-01,610.0
2016-10-01,567.0
2016-11-01,290.0
2016-12-01,404.0
2017-01-01,515.0
2017-02-01,278.0
2017-03-01,413.0
2017-04-01,438.0
2017-05-01,411.0
2017-06-01,506.0
2017-07-01,695.0
2017-08-01,769.0
2017-09-01,816.0
2017-10-01,865.0
2017-11-01,577.0
2017-12-01,690.0
2018-01-01,604.0
2018-02-01,433.0
2018-03-01,480.0
2018-04-01,649.0
2018-05-01,664.0
2018-06-01,809.0
2018-07-01,1002.0
2018-08-01,1036.0
2018-09-01,1150.0
2018-10-01,841.0
2018-11-01,753.0
2018-12-01,727.0
2019-01-01,702.0
2019-02-01,529.0
2019-03-01,544.0
2019-04-01,769.0
2019-05-01,751.0
2019-06-01,959.0
2019-07-01,1115.0
2019-08-01,1277.0
2019-09-01,1427.0
2019-10-01,1461.0
2019-11-01,1019.0
2019-12-01,1113.0
2020-01-01,1042.0
2020-02-01,586.0
2020-03-01,425.0
2020-04-01,2.0
2020-05-01,5.0
2020-06-01,3.0
2020-07-01,54.0
2020-08-01,94.0
2020-09-01,150.0
2020-10-01,159.0
2020-11-01,340.0
2020-12-01,574.0
2021-01-01,529.0
2021-02-01,458.0
2021-03-01,562.0
2021-04-01,506.0
2021-05-01,522.0
2021-06-01,689.0
2021-07-01,835.0
2021-08-01,1135.0
2021-09-01,1257.0
2021-10-01,1195.0
2021-11-01,1482.0
2021-12-01,2084.0
2022-01-01,1736.0
2022-02-01,970.0
2022-03-01,1179.0
2022-04-01,1301.0
2022-05-01,1376.0
2022-06-01,1882.0
2022-07-01,1730.0
2022-08-01,1893.0
2022-09-01,1893.0
2022-10-01,1582.0
2022-11-01,1400.0
2022-12-01,1501.0
2023-01-01,1328.0
2023-02-01,901.0
2023-03-01,1250.0
2023-04-01,1432.0
2023-05-01,1701.0
2023-06-01,2147.0
2023-07-01,2273.0
2023-08-01,2816.0
2023-09-01,2748.0
2023-10-01,2488.0
2023-11-01,1889.0
2023-12-01,1831.0
2024-01-01,2051.0
2024-02-01,1500.0
2024-03-01,2068.0
2024-04-01,2204.0
2024-05-01,2161.0
2024-06-01,2172.0
2024-07-01,2580.0
2024-08-01,2693.0
2024-09-01,2763.0
2024-10-01,2834.0
2024-11-01,2152.0
2024-12-01,2241.0
2025-01-01,2006.0
2025-02-01,1754.0
2025-03-01,2220.0
2025-04-01,2543.0
2025-05-01,2497.0
2025-06-01,2710.0
2025-07-01,2953.0
2025-08-01,2955.0
