Tarih,TP_ODEMGZS_ARJANTIN
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,11613.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,8714.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,2812.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,6557.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,5794.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,10237.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,11180.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,14355.0
2008-01-01,662.0
2008-02-01,612.0
2008-03-01,789.0
2008-04-01,916.0
2008-05-01,2358.0
2008-06-01,2363.0
2008-07-01,1823.0
2008-08-01,1733.0
2008-09-01,3217.0
2008-10-01,2718.0
2008-11-01,923.0
2008-12-01,349.0
2009-01-01,811.0
2009-02-01,575.0
2009-03-01,631.0
2009-04-01,1191.0
2009-05-01,2332.0
2009-06-01,2380.0
2009-07-01,1803.0
2009-08-01,2478.0
2009-09-01,3290.0
2009-10-01,3235.0
2009-11-01,1103.0
2009-12-01,721.0
2010-01-01,768.0
2010-02-01,683.0
2010-03-01,673.0
2010-04-01,1184.0
2010-05-01,3202.0
2010-06-01,2819.0
2010-07-01,1992.0
2010-08-01,1797.0
2010-09-01,4329.0
2010-10-01,3419.0
2010-11-01,871.0
2010-12-01,384.0
2011-01-01,975.0
2011-02-01,1022.0
2011-03-01,1055.0
2011-04-01,1587.0
2011-05-01,3858.0
2011-06-01,3425.0
2011-07-01,2895.0
2011-08-01,2181.0
2011-09-01,4602.0
2011-10-01,3685.0
2011-11-01,1354.0
2011-12-01,433.0
2012-01-01,897.0
2012-02-01,762.0
2012-03-01,818.0
2012-04-01,1998.0
2012-05-01,3942.0
2012-06-01,3974.0
2012-07-01,3545.0
2012-08-01,2568.0
2012-09-01,4686.0
2012-10-01,3352.0
2012-11-01,1384.0
2012-12-01,592.0
2013-01-01,1641.0
2013-02-01,1679.0
2013-03-01,2479.0
2013-04-01,3928.0
2013-05-01,6094.0
2013-06-01,6724.0
2013-07-01,4930.0
2013-08-01,3791.0
2013-09-01,5673.0
2013-10-01,6033.0
2013-11-01,2353.0
2013-12-01,1292.0
2014-01-01,2336.0
2014-02-01,2115.0
2014-03-01,2215.0
2014-04-01,3390.0
2014-05-01,5848.0
2014-06-01,4468.0
2014-07-01,4304.0
2014-08-01,4524.0
2014-09-01,6166.0
2014-10-01,4977.0
2014-11-01,2667.0
