Tarih,TP_ODEMGZS_SURIYE
2014-11-01,25572.0
2014-12-01,25390.0
2015-01-01,21753.0
2015-02-01,20489.0
2015-03-01,22588.0
2015-04-01,23693.0
2015-05-01,25391.0
2015-06-01,29610.0
2015-07-01,30554.0
2015-08-01,51364.0
2015-09-01,50531.0
2015-10-01,41495.0
2015-11-01,29325.0
2015-12-01,28672.0
2016-01-01,26994.0
2016-02-01,14955.0
2016-03-01,13748.0
2016-04-01,13008.0
2016-05-01,13674.0
2016-06-01,13250.0
2016-07-01,13007.0
2016-08-01,19036.0
2016-09-01,23875.0
2016-10-01,14327.0
2016-11-01,14543.0
2016-12-01,16294.0
2017-01-01,16987.0
2017-02-01,15691.0
2017-03-01,16629.0
2017-04-01,17418.0
2017-05-01,18345.0
2017-06-01,13528.0
2017-07-01,17588.0
2017-08-01,26732.0
2017-09-01,22168.0
2017-10-01,15230.0
2017-11-01,13180.0
2017-12-01,13082.0
2018-01-01,14643.0
2018-02-01,12007.0
2018-03-01,12964.0
2018-04-01,13476.0
2018-05-01,15307.0
2018-06-01,16006.0
2018-07-01,19344.0
2018-08-01,36780.0
2018-09-01,23838.0
2018-10-01,17775.0
2018-11-01,16535.0
2018-12-01,16049.0
2019-01-01,21279.0
2019-02-01,15248.0
2019-03-01,17568.0
2019-04-01,19946.0
2019-05-01,39136.0
2019-06-01,23175.0
2019-07-01,34338.0
2019-08-01,35367.0
2019-09-01,26804.0
2019-10-01,18855.0
2019-11-01,18030.0
2019-12-01,17217.0
2020-01-01,22577.0
2020-02-01,15462.0
2020-03-01,7951.0
2020-04-01,280.0
2020-05-01,285.0
2020-06-01,710.0
2020-07-01,2697.0
2020-08-01,5584.0
2020-09-01,6845.0
2020-10-01,8514.0
2020-11-01,8305.0
2020-12-01,7806.0
2021-01-01,8471.0
2021-02-01,6204.0
2021-03-01,7515.0
2021-04-01,8056.0
2021-05-01,7121.0
2021-06-01,10419.0
2021-07-01,14258.0
2021-08-01,21511.0
2021-09-01,15151.0
2021-10-01,13971.0
2021-11-01,12300.0
2021-12-01,12808.0
2022-01-01,13521.0
2022-02-01,12641.0
2022-03-01,13798.0
2022-04-01,11151.0
2022-05-01,15060.0
2022-06-01,22528.0
2022-07-01,21078.0
2022-08-01,26153.0
2022-09-01,21285.0
2022-10-01,15983.0
2022-11-01,14024.0
2022-12-01,14121.0
2023-01-01,16593.0
2023-02-01,13353.0
2023-03-01,15092.0
2023-04-01,12660.0
2023-05-01,14567.0
2023-06-01,28921.0
2023-07-01,19739.0
2023-08-01,23385.0
2023-09-01,16349.0
2023-10-01,13277.0
2023-11-01,12243.16
2023-12-01,11875.0
2024-01-01,14837.4
2024-02-01,12855.94
2024-03-01,11578.0
2024-04-01,13317.0
2024-05-01,12390.25
2024-06-01,20315.0
2024-07-01,18235.15
2024-08-01,19528.8
2024-09-01,13640.0
2024-10-01,11152.15
2024-11-01,10850.87
2024-12-01,10356.0
2025-01-01,18352.03
2025-02-01,13879.0
2025-03-01,12485.0
2025-04-01,15526.49
2025-05-01,18769.52
2025-06-01,16860.0
2025-07-01,16736.0
2025-08-01,19890.0
