Tarih,TP_ODEMGZS_INGILTERE
2014-10-01,351189.0
2014-11-01,83638.0
2014-12-01,38558.0
2015-01-01,34112.0
2015-02-01,41880.0
2015-03-01,56011.0
2015-04-01,127976.0
2015-05-01,251385.0
2015-06-01,348759.0
2015-07-01,363642.0
2015-08-01,460549.0
2015-09-01,406117.0
2015-10-01,321037.0
2015-11-01,72347.0
2015-12-01,36238.0
2016-01-01,35111.0
2016-02-01,35019.0
2016-03-01,54666.0
2016-04-01,98993.0
2016-05-01,174457.0
2016-06-01,233350.0
2016-07-01,233859.0
2016-08-01,293703.0
2016-09-01,270684.0
2016-10-01,219207.0
2016-11-01,43131.0
2016-12-01,28607.0
2017-01-01,28397.0
2017-02-01,27496.0
2017-03-01,36173.0
2017-04-01,99216.0
2017-05-01,151506.0
2017-06-01,205708.0
2017-07-01,231708.0
2017-08-01,288506.0
2017-09-01,272264.0
2017-10-01,228471.0
2017-11-01,58482.0
2017-12-01,35443.0
2018-01-01,36771.0
2018-02-01,37100.0
2018-03-01,45912.0
2018-04-01,132492.0
2018-05-01,222677.0
2018-06-01,296861.0
2018-07-01,308335.0
2018-08-01,388807.0
2018-09-01,350642.0
2018-10-01,322425.0
2018-11-01,80732.0
2018-12-01,39755.0
2019-01-01,40345.0
2019-02-01,42151.0
2019-03-01,57423.0
2019-04-01,159547.0
2019-05-01,258365.0
2019-06-01,347003.0
2019-07-01,372037.0
2019-08-01,448969.0
2019-09-01,402902.0
2019-10-01,294102.0
2019-11-01,93301.0
2019-12-01,53341.0
2020-01-01,44051.0
2020-02-01,47730.0
2020-03-01,37459.0
2020-04-01,423.0
2020-05-01,387.0
2020-06-01,2279.0
2020-07-01,27157.0
2020-08-01,221711.0
2020-09-01,271942.0
2020-10-01,135455.0
2020-11-01,21914.0
2020-12-01,18811.0
2021-01-01,5706.0
2021-02-01,4256.0
2021-03-01,6785.0
2021-04-01,13104.0
2021-05-01,10168.0
2021-06-01,5679.0
2021-07-01,14925.0
2021-08-01,33914.0
2021-09-01,22694.0
2021-10-01,132332.0
2021-11-01,84041.0
2021-12-01,47345.0
2022-01-01,45061.0
2022-02-01,52245.0
2022-03-01,75220.0
2022-04-01,197682.0
2022-05-01,322958.0
2022-06-01,461273.0
2022-07-01,466374.0
2022-08-01,590542.0
2022-09-01,507029.0
2022-10-01,463308.0
2022-11-01,128081.0
2022-12-01,69565.0
2023-01-01,65903.0
2023-02-01,71415.0
2023-03-01,90932.0
2023-04-01,246257.0
2023-05-01,388734.0
2023-06-01,515690.0
2023-07-01,504582.0
2023-08-01,620957.0
2023-09-01,544980.0
2023-10-01,505429.0
2023-11-01,164694.0
2023-12-01,85021.0
2024-01-01,81084.0
2024-02-01,95106.0
2024-03-01,119262.0
2024-04-01,306970.0
2024-05-01,484514.0
2024-06-01,566297.0
2024-07-01,595142.0
2024-08-01,709844.0
2024-09-01,609076.0
2024-10-01,585097.0
2024-11-01,201148.0
2024-12-01,88153.0
2025-01-01,84995.0
2025-02-01,96834.0
2025-03-01,113805.0
2025-04-01,324052.0
2025-05-01,491006.0
2025-06-01,538503.0
2025-07-01,531349.0
2025-08-01,682086.0
