Tarih,TP_ODEMGZS_LITVANYA
2015-02-01,1866.0
2015-03-01,2771.0
2015-04-01,6956.0
2015-05-01,16700.0
2015-06-01,15610.0
2015-07-01,13295.0
2015-08-01,13340.0
2015-09-01,15862.0
2015-10-01,18555.0
2015-11-01,4322.0
2015-12-01,1866.0
2016-01-01,1748.0
2016-02-01,1826.0
2016-03-01,2690.0
2016-04-01,7692.0
2016-05-01,16930.0
2016-06-01,16271.0
2016-07-01,12666.0
2016-08-01,11780.0
2016-09-01,14533.0
2016-10-01,18094.0
2016-11-01,4195.0
2016-12-01,1565.0
2017-01-01,1465.0
2017-02-01,1577.0
2017-03-01,1807.0
2017-04-01,8085.0
2017-05-01,19329.0
2017-06-01,18933.0
2017-07-01,14281.0
2017-08-01,14114.0
2017-09-01,20329.0
2017-10-01,25779.0
2017-11-01,6446.0
2017-12-01,1952.0
2018-01-01,1892.0
2018-02-01,2076.0
2018-03-01,2507.0
2018-04-01,17053.0
2018-05-01,32818.0
2018-06-01,29668.0
2018-07-01,20887.0
2018-08-01,19617.0
2018-09-01,26610.0
2018-10-01,35174.0
2018-11-01,8226.0
2018-12-01,2330.0
2019-01-01,1344.0
2019-02-01,1417.0
2019-03-01,1843.0
2019-04-01,4091.0
2019-05-01,13428.0
2019-06-01,11312.0
2019-07-01,8965.0
2019-08-01,9737.0
2019-09-01,12740.0
2019-10-01,17059.0
2019-11-01,2513.0
2019-12-01,1509.0
2020-01-01,1532.0
2020-02-01,1660.0
2020-03-01,1159.0
2020-04-01,6.0
2020-05-01,28.0
2020-06-01,112.0
2020-07-01,414.0
2020-08-01,930.0
2020-09-01,1346.0
2020-10-01,1189.0
2020-11-01,626.0
2020-12-01,506.0
2021-01-01,374.0
2021-02-01,438.0
2021-03-01,495.0
2021-04-01,705.0
2021-05-01,3144.0
2021-06-01,5148.0
2021-07-01,5547.0
2021-08-01,6162.0
2021-09-01,7616.0
2021-10-01,11674.0
2021-11-01,2044.0
2021-12-01,1196.0
2022-01-01,1102.0
2022-02-01,1253.0
2022-03-01,1544.0
2022-04-01,4767.0
2022-05-01,13650.0
2022-06-01,14309.0
2022-07-01,10628.0
2022-08-01,10180.0
2022-09-01,13280.0
2022-10-01,19182.0
2022-11-01,5143.0
2022-12-01,2052.0
2023-01-01,2960.0
2023-02-01,3139.0
2023-03-01,4039.0
2023-04-01,27762.0
2023-05-01,47293.0
2023-06-01,36974.0
2023-07-01,30210.0
2023-08-01,28430.0
2023-09-01,31862.0
2023-10-01,46342.0
2023-11-01,15875.0
2023-12-01,3073.0
2024-01-01,3292.0
2024-02-01,3705.0
2024-03-01,4871.0
2024-04-01,24086.0
2024-05-01,44730.0
2024-06-01,36308.0
2024-07-01,30217.0
2024-08-01,27795.0
2024-09-01,34673.0
2024-10-01,50669.0
2024-11-01,21080.0
2024-12-01,3383.0
2025-01-01,3760.0
2025-02-01,3714.0
2025-03-01,4851.0
2025-04-01,28582.0
2025-05-01,54892.0
2025-06-01,35187.0
2025-07-01,29062.0
2025-08-01,28335.0
