Tarih,TP_ODEMGZS_HINDISTAN
2015-01-01,5808.0
2015-02-01,6144.0
2015-03-01,8227.0
2015-04-01,10228.0
2015-05-01,15905.0
2015-06-01,17101.0
2015-07-01,12314.0
2015-08-01,12784.0
2015-09-01,13002.0
2015-10-01,12716.0
2015-11-01,10055.0
2015-12-01,7444.0
2016-01-01,5945.0
2016-02-01,4835.0
2016-03-01,6583.0
2016-04-01,7687.0
2016-05-01,10414.0
2016-06-01,11259.0
2016-07-01,5895.0
2016-08-01,4534.0
2016-09-01,5532.0
2016-10-01,5896.0
2016-11-01,5091.0
2016-12-01,5005.0
2017-01-01,4691.0
2017-02-01,3553.0
2017-03-01,5151.0
2017-04-01,5976.0
2017-05-01,7255.0
2017-06-01,6635.0
2017-07-01,7776.0
2017-08-01,7338.0
2017-09-01,7786.0
2017-10-01,9656.0
2017-11-01,9661.0
2017-12-01,8930.0
2018-01-01,8291.0
2018-02-01,7170.0
2018-03-01,9463.0
2018-04-01,13155.0
2018-05-01,16266.0
2018-06-01,13961.0
2018-07-01,15133.0
2018-08-01,12542.0
2018-09-01,11172.0
2018-10-01,14537.0
2018-11-01,14089.0
2018-12-01,11641.0
2019-01-01,9459.0
2019-02-01,10607.0
2019-03-01,14844.0
2019-04-01,22935.0
2019-05-01,25427.0
2019-06-01,26034.0
2019-07-01,19476.0
2019-08-01,17983.0
2019-09-01,19947.0
2019-10-01,23343.0
2019-11-01,21029.0
2019-12-01,17697.0
2020-01-01,14783.0
2020-02-01,12924.0
2020-03-01,5697.0
2020-04-01,202.0
2020-05-01,202.0
2020-06-01,618.0
2020-07-01,2605.0
2020-08-01,2347.0
2020-09-01,2088.0
2020-10-01,2319.0
2020-11-01,2009.0
2020-12-01,2186.0
2021-01-01,2081.0
2021-02-01,1747.0
2021-03-01,2485.0
2021-04-01,2854.0
2021-05-01,1758.0
2021-06-01,2546.0
2021-07-01,4279.0
2021-08-01,4793.0
2021-09-01,4400.0
2021-10-01,6568.0
2021-11-01,6751.0
2021-12-01,9461.0
2022-01-01,5874.0
2022-02-01,5543.0
2022-03-01,9457.0
2022-04-01,12167.0
2022-05-01,21337.0
2022-06-01,26979.0
2022-07-01,24078.0
2022-08-01,21734.0
2022-09-01,24338.0
2022-10-01,28666.0
2022-11-01,27043.0
2022-12-01,20382.0
2023-01-01,16468.0
2023-02-01,13062.0
2023-03-01,15436.0
2023-04-01,20327.0
2023-05-01,27314.0
2023-06-01,28719.0
2023-07-01,26855.0
2023-08-01,23556.0
2023-09-01,25779.0
2023-10-01,32344.0
2023-11-01,22523.0
2023-12-01,21356.0
2024-01-01,16791.0
2024-02-01,14997.0
2024-03-01,19850.0
2024-04-01,30950.0
2024-05-01,38576.0
2024-06-01,41920.0
2024-07-01,30421.0
2024-08-01,27129.0
2024-09-01,27523.0
2024-10-01,31988.0
2024-11-01,26214.0
2024-12-01,23397.0
2025-01-01,18296.0
2025-02-01,16594.0
2025-03-01,18254.0
2025-04-01,30127.0
2025-05-01,32040.0
2025-06-01,26335.0
2025-07-01,16455.0
2025-08-01,17746.0
