Tarih,TP_ODEMGZS_ISVICRE
2014-11-01,15580.0
2014-12-01,9241.0
2015-01-01,11441.0
2015-02-01,11572.0
2015-03-01,13124.0
2015-04-01,32005.0
2015-05-01,37613.0
2015-06-01,32257.0
2015-07-01,57790.0
2015-08-01,52909.0
2015-09-01,37667.0
2015-10-01,75296.0
2015-11-01,12986.0
2015-12-01,8847.0
2016-01-01,11382.0
2016-02-01,10379.0
2016-03-01,10975.0
2016-04-01,16304.0
2016-05-01,22984.0
2016-06-01,15951.0
2016-07-01,26372.0
2016-08-01,32248.0
2016-09-01,17718.0
2016-10-01,39541.0
2016-11-01,8191.0
2016-12-01,6911.0
2017-01-01,8657.0
2017-02-01,6577.0
2017-03-01,7585.0
2017-04-01,16047.0
2017-05-01,15329.0
2017-06-01,13915.0
2017-07-01,26647.0
2017-08-01,34684.0
2017-09-01,20137.0
2017-10-01,41956.0
2017-11-01,9400.0
2017-12-01,7535.0
2018-01-01,9590.0
2018-02-01,9171.0
2018-03-01,9072.0
2018-04-01,20705.0
2018-05-01,23118.0
2018-06-01,17876.0
2018-07-01,32577.0
2018-08-01,40185.0
2018-09-01,27650.0
2018-10-01,59065.0
2018-11-01,12302.0
2018-12-01,9069.0
2019-01-01,11261.0
2019-02-01,10322.0
2019-03-01,13006.0
2019-04-01,23648.0
2019-05-01,23098.0
2019-06-01,26176.0
2019-07-01,40871.0
2019-08-01,45294.0
2019-09-01,32364.0
2019-10-01,64813.0
2019-11-01,13882.0
2019-12-01,9837.0
2020-01-01,11963.0
2020-02-01,12392.0
2020-03-01,7101.0
2020-04-01,135.0
2020-05-01,29.0
2020-06-01,1148.0
2020-07-01,9857.0
2020-08-01,23360.0
2020-09-01,15087.0
2020-10-01,38806.0
2020-11-01,8019.0
2020-12-01,5057.0
2021-01-01,4512.0
2021-02-01,4208.0
2021-03-01,4902.0
2021-04-01,9113.0
2021-05-01,2630.0
2021-06-01,7712.0
2021-07-01,29609.0
2021-08-01,45534.0
2021-09-01,24413.0
2021-10-01,62168.0
2021-11-01,13841.0
2021-12-01,9626.0
2022-01-01,11238.0
2022-02-01,11294.0
2022-03-01,13863.0
2022-04-01,29251.0
2022-05-01,27308.0
2022-06-01,28722.0
2022-07-01,53777.0
2022-08-01,59444.0
2022-09-01,35522.0
2022-10-01,87403.0
2022-11-01,16329.0
2022-12-01,10454.0
2023-01-01,13819.0
2023-02-01,13327.0
2023-03-01,12543.0
2023-04-01,26263.0
2023-05-01,33281.0
2023-06-01,25416.0
2023-07-01,55683.0
2023-08-01,54920.0
2023-09-01,36858.0
2023-10-01,90803.0
2023-11-01,16384.0
2023-12-01,12159.0
2024-01-01,14865.0
2024-02-01,15650.0
2024-03-01,15178.0
2024-04-01,33651.0
2024-05-01,37438.0
2024-06-01,29760.0
2024-07-01,52735.0
2024-08-01,52773.0
2024-09-01,39666.0
2024-10-01,85320.0
2024-11-01,18101.0
2024-12-01,13467.0
2025-01-01,14896.0
2025-02-01,14902.0
2025-03-01,15583.0
2025-04-01,34768.0
2025-05-01,31928.0
2025-06-01,34474.0
2025-07-01,50929.0
2025-08-01,51741.0
