Tarih,TP_ODEMGZS_BELCIKA
2014-11-01,32972.0
2014-12-01,14989.0
2015-01-01,14759.0
2015-02-01,13789.0
2015-03-01,17270.0
2015-04-01,47862.0
2015-05-01,49431.0
2015-06-01,52464.0
2015-07-01,102794.0
2015-08-01,155480.0
2015-09-01,78525.0
2015-10-01,44935.0
2015-11-01,27020.0
2015-12-01,14730.0
2016-01-01,14713.0
2016-02-01,12371.0
2016-03-01,13532.0
2016-04-01,28421.0
2016-05-01,31449.0
2016-06-01,27670.0
2016-07-01,64431.0
2016-08-01,112672.0
2016-09-01,46212.0
2016-10-01,28821.0
2016-11-01,23355.0
2016-12-01,11525.0
2017-01-01,13937.0
2017-02-01,8680.0
2017-03-01,13565.0
2017-04-01,26935.0
2017-05-01,28098.0
2017-06-01,24880.0
2017-07-01,68306.0
2017-08-01,114177.0
2017-09-01,56364.0
2017-10-01,31878.0
2017-11-01,22740.0
2017-12-01,13123.0
2018-01-01,15086.0
2018-02-01,13181.0
2018-03-01,13305.0
2018-04-01,39889.0
2018-05-01,32427.0
2018-06-01,32928.0
2018-07-01,85632.0
2018-08-01,132923.0
2018-09-01,68063.0
2018-10-01,35640.0
2018-11-01,29181.0
2018-12-01,16003.0
2019-01-01,17241.0
2019-02-01,13052.0
2019-03-01,19503.0
2019-04-01,43535.0
2019-05-01,33855.0
2019-06-01,40894.0
2019-07-01,95946.0
2019-08-01,142337.0
2019-09-01,70135.0
2019-10-01,37421.0
2019-11-01,31813.0
2019-12-01,16762.0
2020-01-01,18396.0
2020-02-01,16643.0
2020-03-01,11743.0
2020-04-01,213.0
2020-05-01,126.0
2020-06-01,1994.0
2020-07-01,9343.0
2020-08-01,39456.0
2020-09-01,12872.0
2020-10-01,9467.0
2020-11-01,12142.0
2020-12-01,10106.0
2021-01-01,8059.0
2021-02-01,4102.0
2021-03-01,5164.0
2021-04-01,8788.0
2021-05-01,7258.0
2021-06-01,11089.0
2021-07-01,40466.0
2021-08-01,118913.0
2021-09-01,48387.0
2021-10-01,29889.0
2021-11-01,34841.0
2021-12-01,17250.0
2022-01-01,25762.0
2022-02-01,15470.0
2022-03-01,25278.0
2022-04-01,35369.0
2022-05-01,39008.0
2022-06-01,39251.0
2022-07-01,97693.0
2022-08-01,159719.0
2022-09-01,68983.0
2022-10-01,41426.0
2022-11-01,37845.0
2022-12-01,18302.0
2023-01-01,22883.0
2023-02-01,19514.0
2023-03-01,19562.0
2023-04-01,29826.0
2023-05-01,54318.0
2023-06-01,39660.0
2023-07-01,85331.0
2023-08-01,152616.0
2023-09-01,68830.0
2023-10-01,46106.0
2023-11-01,39802.0
2023-12-01,22567.0
2024-01-01,24825.0
2024-02-01,22500.0
2024-03-01,23044.0
2024-04-01,43455.0
2024-05-01,54741.0
2024-06-01,42008.0
2024-07-01,91549.0
2024-08-01,147954.0
2024-09-01,69278.0
2024-10-01,51107.0
2024-11-01,38826.0
2024-12-01,22815.0
2025-01-01,24234.0
2025-02-01,19708.0
2025-03-01,21270.0
2025-04-01,42430.0
2025-05-01,52893.0
2025-06-01,42764.0
2025-07-01,93957.0
2025-08-01,137579.0
