Tarih,TP_ODEMGZS_MALTA
2015-08-01,1260.0
2015-09-01,1342.0
2015-10-01,694.0
2015-11-01,615.0
2015-12-01,474.0
2016-01-01,447.0
2016-02-01,344.0
2016-03-01,508.0
2016-04-01,411.0
2016-05-01,426.0
2016-06-01,481.0
2016-07-01,540.0
2016-08-01,708.0
2016-09-01,730.0
2016-10-01,503.0
2016-11-01,378.0
2016-12-01,416.0
2017-01-01,339.0
2017-02-01,209.0
2017-03-01,332.0
2017-04-01,276.0
2017-05-01,381.0
2017-06-01,354.0
2017-07-01,782.0
2017-08-01,778.0
2017-09-01,803.0
2017-10-01,365.0
2017-11-01,429.0
2017-12-01,447.0
2018-01-01,441.0
2018-02-01,386.0
2018-03-01,642.0
2018-04-01,500.0
2018-05-01,535.0
2018-06-01,577.0
2018-07-01,967.0
2018-08-01,1287.0
2018-09-01,1072.0
2018-10-01,644.0
2018-11-01,592.0
2018-12-01,543.0
2019-01-01,778.0
2019-02-01,531.0
2019-03-01,769.0
2019-04-01,750.0
2019-05-01,623.0
2019-06-01,573.0
2019-07-01,742.0
2019-08-01,1236.0
2019-09-01,841.0
2019-10-01,748.0
2019-11-01,660.0
2019-12-01,565.0
2020-01-01,721.0
2020-02-01,594.0
2020-03-01,313.0
2020-04-01,0.0
2020-05-01,4.0
2020-06-01,8.0
2020-07-01,72.0
2020-08-01,360.0
2020-09-01,344.0
2020-10-01,339.0
2020-11-01,342.0
2020-12-01,255.0
2021-01-01,262.0
2021-02-01,259.0
2021-03-01,354.0
2021-04-01,471.0
2021-05-01,323.0
2021-06-01,448.0
2021-07-01,656.0
2021-08-01,845.0
2021-09-01,1165.0
2021-10-01,852.0
2021-11-01,810.0
2021-12-01,607.0
2022-01-01,737.0
2022-02-01,623.0
2022-03-01,844.0
2022-04-01,1199.0
2022-05-01,1310.0
2022-06-01,1315.0
2022-07-01,1795.0
2022-08-01,2249.0
2022-09-01,2524.0
2022-10-01,1360.0
2022-11-01,1359.0
2022-12-01,1066.0
2023-01-01,1078.0
2023-02-01,844.0
2023-03-01,786.0
2023-04-01,1019.0
2023-05-01,970.0
2023-06-01,1168.0
2023-07-01,1649.0
2023-08-01,1867.0
2023-09-01,2026.0
2023-10-01,1094.0
2023-11-01,1128.0
2023-12-01,876.0
2024-01-01,1114.0
2024-02-01,811.0
2024-03-01,1053.0
2024-04-01,1029.0
2024-05-01,1365.0
2024-06-01,966.0
2024-07-01,1867.0
2024-08-01,2104.0
2024-09-01,2091.0
2024-10-01,1062.0
2024-11-01,1035.0
2024-12-01,897.0
2025-01-01,973.0
2025-02-01,764.0
2025-03-01,1028.0
2025-04-01,1005.0
2025-05-01,1137.0
2025-06-01,1028.0
2025-07-01,1561.0
2025-08-01,2227.0
