Tarih,TP_ODEMGZS_MILLIYESIZ
2014-11-01,3311.0
2014-12-01,2632.0
2015-01-01,3208.0
2015-02-01,2426.0
2015-03-01,2890.0
2015-04-01,4170.0
2015-05-01,4473.0
2015-06-01,5165.0
2015-07-01,6117.0
2015-08-01,9948.0
2015-09-01,7244.0
2015-10-01,5699.0
2015-11-01,3213.0
2015-12-01,2842.0
2016-01-01,3298.0
2016-02-01,1881.0
2016-03-01,2155.0
2016-04-01,2942.0
2016-05-01,3271.0
2016-06-01,2796.0
2016-07-01,4300.0
2016-08-01,5787.0
2016-09-01,5904.0
2016-10-01,3959.0
2016-11-01,2933.0
2016-12-01,2409.0
2017-01-01,2913.0
2017-02-01,2540.0
2017-03-01,2791.0
2017-04-01,4503.0
2017-05-01,4377.0
2017-06-01,2943.0
2017-07-01,6861.0
2017-08-01,8760.0
2017-09-01,8683.0
2017-10-01,6317.0
2017-11-01,3927.0
2017-12-01,3487.0
2018-01-01,4150.0
2018-02-01,2883.0
2018-03-01,3716.0
2018-04-01,6292.0
2018-05-01,5196.0
2018-06-01,5279.0
2018-07-01,9185.0
2018-08-01,11569.0
2018-09-01,9391.0
2018-10-01,7669.0
2018-11-01,4731.0
2018-12-01,4350.0
2019-01-01,6576.0
2019-02-01,4212.0
2019-03-01,4910.0
2019-04-01,6471.0
2019-05-01,5066.0
2019-06-01,7174.0
2019-07-01,10912.0
2019-08-01,14703.0
2019-09-01,11892.0
2019-10-01,9117.0
2019-11-01,5164.0
2019-12-01,4862.0
2020-01-01,7803.0
2020-02-01,4578.0
2020-03-01,2879.0
2020-04-01,128.0
2020-05-01,70.0
2020-06-01,320.0
2020-07-01,844.0
2020-08-01,2537.0
2020-09-01,2951.0
2020-10-01,3306.0
2020-11-01,3094.0
2020-12-01,2426.0
2021-01-01,2630.0
2021-02-01,1936.0
2021-03-01,2606.0
2021-04-01,2923.0
2021-05-01,2425.0
2021-06-01,4568.0
2021-07-01,7998.0
2021-08-01,9982.0
2021-09-01,7712.0
2021-10-01,7627.0
2021-11-01,5690.0
2021-12-01,4774.0
2022-01-01,6075.0
2022-02-01,4421.0
2022-03-01,5902.0
2022-04-01,5247.0
2022-05-01,7799.0
2022-06-01,7881.0
2022-07-01,11505.0
2022-08-01,13535.0
2022-09-01,11532.0
2022-10-01,9624.0
2022-11-01,6005.0
2022-12-01,4642.0
2023-01-01,6261.0
2023-02-01,4170.0
2023-03-01,4344.0
2023-04-01,3940.0
2023-05-01,6809.0
2023-06-01,7514.0
2023-07-01,10591.0
2023-08-01,11835.0
2023-09-01,8655.0
2023-10-01,6814.0
2023-11-01,3413.0
2023-12-01,2581.0
2024-01-01,3518.0
2024-02-01,2759.0
2024-03-01,2761.0
2024-04-01,3622.0
2024-05-01,5261.0
2024-06-01,5743.0
2024-07-01,7205.0
2024-08-01,7534.0
2024-09-01,6874.0
2024-10-01,6131.0
2024-11-01,3193.0
2024-12-01,3002.0
2025-01-01,3112.0
2025-02-01,2281.0
2025-03-01,1830.0
2025-04-01,3484.0
2025-05-01,4702.0
2025-06-01,4984.0
2025-07-01,5402.0
2025-08-01,6378.0
