Tarih,TP_BISKREDIGSYIH_QIT1
2000-01-01,74.3
2000-04-01,75.0
2000-07-01,75.6
2000-10-01,78.4
2001-01-01,78.9
2001-04-01,79.8
2001-07-01,79.9
2001-10-01,81.8
2002-01-01,81.9
2002-04-01,83.0
2002-07-01,82.8
2002-10-01,84.3
2003-01-01,84.5
2003-04-01,85.9
2003-07-01,85.7
2003-10-01,88.0
2004-01-01,87.7
2004-04-01,89.6
2004-07-01,89.9
2004-10-01,92.0
2005-01-01,92.9
2005-04-01,94.4
2005-07-01,95.0
2005-10-01,97.3
2006-01-01,98.4
2006-04-01,100.2
2006-07-01,100.9
2006-10-01,103.3
2007-01-01,104.1
2007-04-01,106.7
2007-07-01,107.6
2007-10-01,111.3
2008-01-01,114.9
2008-04-01,115.3
2008-07-01,115.3
2008-10-01,114.9
2009-01-01,118.3
2009-04-01,122.1
2009-07-01,122.5
2009-10-01,123.4
2010-01-01,123.6
2010-04-01,124.0
2010-07-01,124.1
2010-10-01,124.1
2011-01-01,123.9
2011-04-01,124.1
2011-07-01,123.6
2011-10-01,122.9
2012-01-01,123.6
2012-04-01,124.1
2012-07-01,124.2
2012-10-01,125.1
2013-01-01,124.5
2013-04-01,124.1
2013-07-01,123.7
2013-10-01,123.0
2014-01-01,122.6
2014-04-01,122.6
2014-07-01,122.3
2014-10-01,121.0
2015-01-01,121.0
2015-04-01,120.3
2015-07-01,119.4
2015-10-01,117.2
2016-01-01,116.0
2016-04-01,116.2
2016-07-01,115.3
2016-10-01,113.3
2017-01-01,113.0
2017-04-01,112.0
2017-07-01,110.4
2017-10-01,110.6
2018-01-01,109.6
2018-04-01,109.8
2018-07-01,109.3
2018-10-01,109.0
2019-01-01,108.2
2019-04-01,108.3
2019-07-01,108.4
2019-10-01,107.9
2020-01-01,109.6
2020-04-01,115.5
2020-07-01,118.5
2020-10-01,120.6
2021-01-01,120.3
2021-04-01,115.8
2021-07-01,113.5
2021-10-01,113.0
2022-01-01,110.3
2022-04-01,108.5
2022-07-01,107.0
2022-10-01,105.8
2023-01-01,103.1
2023-04-01,101.5
2023-07-01,98.7
2023-10-01,98.5
2024-01-01,97.2
2024-04-01,96.5
2024-07-01,95.3
2024-10-01,95.5
2025-01-01,95.2
