Tarih,TP_BISKREDIGSYIH_QSE1
2000-01-01,148.2
2000-04-01,149.6
2000-07-01,148.0
2000-10-01,147.3
2001-01-01,149.3
2001-04-01,152.1
2001-07-01,156.9
2001-10-01,166.1
2002-01-01,165.2
2002-04-01,165.0
2002-07-01,165.0
2002-10-01,162.3
2003-01-01,159.6
2003-04-01,167.8
2003-07-01,167.2
2003-10-01,167.7
2004-01-01,161.0
2004-04-01,156.4
2004-07-01,151.2
2004-10-01,149.0
2005-01-01,146.1
2005-04-01,145.0
2005-07-01,143.2
2005-10-01,144.5
2006-01-01,142.7
2006-04-01,141.6
2006-07-01,138.7
2006-10-01,135.1
2007-01-01,135.1
2007-04-01,137.0
2007-07-01,133.6
2007-10-01,139.2
2008-01-01,146.6
2008-04-01,149.3
2008-07-01,152.9
2008-10-01,156.3
2009-01-01,153.9
2009-04-01,155.5
2009-07-01,156.4
2009-10-01,156.6
2010-01-01,150.5
2010-04-01,144.1
2010-07-01,146.2
2010-10-01,147.8
2011-01-01,155.1
2011-04-01,159.7
2011-07-01,159.6
2011-10-01,161.3
2012-01-01,162.4
2012-04-01,163.5
2012-07-01,170.5
2012-10-01,175.8
2013-01-01,181.8
2013-04-01,185.0
2013-07-01,187.9
2013-10-01,191.6
2014-01-01,193.3
2014-04-01,197.9
2014-07-01,203.0
2014-10-01,201.6
2015-01-01,198.1
2015-04-01,201.2
2015-07-01,200.3
2015-10-01,204.6
2016-01-01,203.5
2016-04-01,205.2
2016-07-01,205.2
2016-10-01,202.7
2017-01-01,199.5
2017-04-01,202.8
2017-07-01,199.9
2017-10-01,202.4
2018-01-01,199.2
2018-04-01,200.6
2018-07-01,198.5
2018-10-01,198.9
2019-01-01,199.5
2019-04-01,202.8
2019-07-01,203.3
2019-10-01,210.3
2020-01-01,212.3
2020-04-01,219.6
2020-07-01,224.3
2020-10-01,232.0
2021-01-01,224.5
2021-04-01,221.3
2021-07-01,209.8
2021-10-01,201.2
2022-01-01,188.4
2022-04-01,172.9
2022-07-01,166.7
2022-10-01,165.1
2023-01-01,160.7
2023-04-01,172.1
2023-07-01,172.2
2023-10-01,174.4
2024-01-01,171.1
2024-04-01,171.4
2024-07-01,165.5
2024-10-01,167.1
2025-01-01,170.7
