Tarih,TP_BISKREDIGSYIH_QUS2
2000-01-01,130.3
2000-04-01,130.9
2000-07-01,131.5
2000-10-01,132.1
2001-01-01,132.6
2001-04-01,133.3
2001-07-01,134.0
2001-10-01,134.7
2002-01-01,135.5
2002-04-01,136.3
2002-07-01,137.1
2002-10-01,137.9
2003-01-01,138.8
2003-04-01,139.7
2003-07-01,140.7
2003-10-01,141.6
2004-01-01,142.5
2004-04-01,143.4
2004-07-01,144.3
2004-10-01,145.2
2005-01-01,146.2
2005-04-01,147.1
2005-07-01,148.1
2005-10-01,149.2
2006-01-01,150.3
2006-04-01,151.4
2006-07-01,152.6
2006-10-01,153.8
2007-01-01,155.0
2007-04-01,156.3
2007-07-01,157.6
2007-10-01,159.0
2008-01-01,160.3
2008-04-01,161.6
2008-07-01,162.9
2008-10-01,164.0
2009-01-01,165.1
2009-04-01,166.1
2009-07-01,167.1
2009-10-01,168.0
2010-01-01,168.7
2010-04-01,169.3
2010-07-01,169.6
2010-10-01,169.9
2011-01-01,170.0
2011-04-01,170.0
2011-07-01,170.0
2011-10-01,169.9
2012-01-01,169.7
2012-04-01,169.4
2012-07-01,169.1
2012-10-01,168.8
2013-01-01,168.3
2013-04-01,167.9
2013-07-01,167.5
2013-10-01,167.1
2014-01-01,166.7
2014-04-01,166.3
2014-07-01,165.8
2014-10-01,165.3
2015-01-01,164.8
2015-04-01,164.4
2015-07-01,164.0
2015-10-01,163.5
2016-01-01,163.1
2016-04-01,162.8
2016-07-01,162.5
2016-10-01,162.1
2017-01-01,161.8
2017-04-01,161.5
2017-07-01,161.3
2017-10-01,161.0
2018-01-01,160.8
2018-04-01,160.5
2018-07-01,160.3
2018-10-01,160.0
2019-01-01,159.8
2019-04-01,159.5
2019-07-01,159.3
2019-10-01,159.0
2020-01-01,159.0
2020-04-01,159.2
2020-07-01,159.5
2020-10-01,159.9
2021-01-01,160.2
2021-04-01,160.5
2021-07-01,160.6
2021-10-01,160.6
2022-01-01,160.6
2022-04-01,160.5
2022-07-01,160.3
2022-10-01,160.1
2023-01-01,159.7
2023-04-01,159.3
2023-07-01,158.8
2023-10-01,158.2
2024-01-01,157.6
2024-04-01,156.9
2024-07-01,156.3
2024-10-01,155.5
2025-01-01,154.7
