Tarih,TP_BISKREDIGSYIH_QNL1
2000-01-01,254.2
2000-04-01,255.8
2000-07-01,258.0
2000-10-01,260.4
2001-01-01,255.9
2001-04-01,255.9
2001-07-01,255.0
2001-10-01,257.1
2002-01-01,256.5
2002-04-01,254.7
2002-07-01,257.5
2002-10-01,257.3
2003-01-01,258.0
2003-04-01,260.4
2003-07-01,263.4
2003-10-01,274.7
2004-01-01,274.1
2004-04-01,273.3
2004-07-01,273.6
2004-10-01,275.7
2005-01-01,275.9
2005-04-01,281.9
2005-07-01,283.3
2005-10-01,281.1
2006-01-01,279.8
2006-04-01,277.9
2006-07-01,279.1
2006-10-01,276.2
2007-01-01,278.1
2007-04-01,276.8
2007-07-01,277.4
2007-10-01,275.6
2008-01-01,278.6
2008-04-01,280.7
2008-07-01,279.3
2008-10-01,278.9
2009-01-01,283.4
2009-04-01,288.4
2009-07-01,292.6
2009-10-01,292.4
2010-01-01,299.6
2010-04-01,305.1
2010-07-01,307.1
2010-10-01,309.8
2011-01-01,311.7
2011-04-01,316.8
2011-07-01,318.8
2011-10-01,324.2
2012-01-01,327.3
2012-04-01,331.8
2012-07-01,333.6
2012-10-01,333.8
2013-01-01,335.0
2013-04-01,336.6
2013-07-01,337.6
2013-10-01,337.4
2014-01-01,337.3
2014-04-01,339.2
2014-07-01,340.0
2014-10-01,346.3
2015-01-01,352.3
2015-04-01,350.6
2015-07-01,348.1
2015-10-01,346.3
2016-01-01,345.8
2016-04-01,345.3
2016-07-01,352.1
2016-10-01,349.2
2017-01-01,350.6
2017-04-01,348.7
2017-07-01,348.6
2017-10-01,344.9
2018-01-01,344.6
2018-04-01,340.4
2018-07-01,337.5
2018-10-01,335.0
2019-01-01,331.8
2019-04-01,327.8
2019-07-01,324.7
2019-10-01,320.0
2020-01-01,322.5
2020-04-01,329.7
2020-07-01,331.9
2020-10-01,329.7
2021-01-01,342.9
2021-04-01,334.7
2021-07-01,327.8
2021-10-01,321.6
2022-01-01,315.8
2022-04-01,311.3
2022-07-01,310.0
2022-10-01,301.3
2023-01-01,291.0
2023-04-01,288.1
2023-07-01,287.5
2023-10-01,285.3
2024-01-01,279.7
2024-04-01,276.0
2024-07-01,273.2
2024-10-01,269.1
2025-01-01,266.2
