Tarih,TP_BISKREDIGSYIH_QCN2
2000-01-01,85.8
2000-04-01,87.6
2000-07-01,89.3
2000-10-01,91.1
2001-01-01,92.9
2001-04-01,94.8
2001-07-01,96.8
2001-10-01,98.4
2002-01-01,99.9
2002-04-01,101.5
2002-07-01,103.2
2002-10-01,104.5
2003-01-01,105.8
2003-04-01,106.7
2003-07-01,107.4
2003-10-01,107.8
2004-01-01,108.2
2004-04-01,108.5
2004-07-01,108.7
2004-10-01,108.6
2005-01-01,108.5
2005-04-01,108.4
2005-07-01,108.1
2005-10-01,107.8
2006-01-01,107.4
2006-04-01,106.9
2006-07-01,106.4
2006-10-01,105.9
2007-01-01,105.4
2007-04-01,104.9
2007-07-01,104.6
2007-10-01,104.3
2008-01-01,104.0
2008-04-01,104.0
2008-07-01,104.4
2008-10-01,105.2
2009-01-01,106.0
2009-04-01,106.6
2009-07-01,107.3
2009-10-01,107.9
2010-01-01,108.4
2010-04-01,109.0
2010-07-01,109.2
2010-10-01,109.3
2011-01-01,109.3
2011-04-01,109.4
2011-07-01,109.6
2011-10-01,110.0
2012-01-01,110.3
2012-04-01,110.8
2012-07-01,111.2
2012-10-01,111.8
2013-01-01,112.4
2013-04-01,113.2
2013-07-01,114.0
2013-10-01,115.0
2014-01-01,116.1
2014-04-01,117.2
2014-07-01,118.5
2014-10-01,120.0
2015-01-01,121.4
2015-04-01,122.8
2015-07-01,124.6
2015-10-01,126.3
2016-01-01,127.9
2016-04-01,129.3
2016-07-01,130.7
2016-10-01,132.0
2017-01-01,133.3
2017-04-01,134.5
2017-07-01,135.5
2017-10-01,136.4
2018-01-01,137.1
2018-04-01,137.9
2018-07-01,138.7
2018-10-01,139.7
2019-01-01,140.7
2019-04-01,141.8
2019-07-01,143.1
2019-10-01,144.4
2020-01-01,146.1
2020-04-01,148.1
2020-07-01,150.0
2020-10-01,151.3
2021-01-01,152.4
2021-04-01,153.1
2021-07-01,153.7
2021-10-01,154.2
2022-01-01,154.3
2022-04-01,154.9
2022-07-01,155.5
2022-10-01,155.7
2023-01-01,155.5
2023-04-01,155.3
2023-07-01,155.3
2023-10-01,155.3
2024-01-01,155.5
2024-04-01,155.4
2024-07-01,155.1
2024-10-01,154.9
2025-01-01,154.5
