Tarih,TP_BISKREDIGSYIH_QIN1
2000-01-01,55.7
2000-04-01,56.9
2000-07-01,56.7
2000-10-01,58.6
2001-01-01,59.6
2001-04-01,59.1
2001-07-01,59.2
2001-10-01,60.2
2002-01-01,61.9
2002-04-01,65.3
2002-07-01,65.0
2002-10-01,66.3
2003-01-01,67.9
2003-04-01,66.8
2003-07-01,65.5
2003-10-01,66.4
2004-01-01,69.1
2004-04-01,68.8
2004-07-01,69.3
2004-10-01,73.5
2005-01-01,75.7
2005-04-01,76.5
2005-07-01,81.1
2005-10-01,82.2
2006-01-01,89.2
2006-04-01,87.9
2006-07-01,91.1
2006-10-01,91.2
2007-01-01,96.8
2007-04-01,92.5
2007-07-01,94.8
2007-10-01,95.8
2008-01-01,102.2
2008-04-01,99.8
2008-07-01,101.8
2008-10-01,102.5
2009-01-01,106.3
2009-04-01,103.1
2009-07-01,104.6
2009-10-01,102.8
2010-01-01,106.2
2010-04-01,104.1
2010-07-01,103.5
2010-10-01,107.8
2011-01-01,107.4
2011-04-01,105.2
2011-07-01,104.4
2011-10-01,107.3
2012-01-01,107.1
2012-04-01,104.4
2012-07-01,105.7
2012-10-01,107.4
2013-01-01,104.4
2013-04-01,102.3
2013-07-01,99.9
2013-10-01,98.0
2014-01-01,98.2
2014-04-01,97.1
2014-07-01,98.3
2014-10-01,100.2
2015-01-01,98.7
2015-04-01,96.3
2015-07-01,97.0
2015-10-01,97.0
2016-01-01,92.9
2016-04-01,91.9
2016-07-01,86.4
2016-10-01,87.8
2017-01-01,87.2
2017-04-01,92.3
2017-07-01,94.5
2017-10-01,100.6
2018-01-01,96.2
2018-04-01,94.8
2018-07-01,93.0
2018-10-01,92.9
2019-01-01,89.5
2019-04-01,87.6
2019-07-01,86.8
2019-10-01,87.7
2020-01-01,85.6
2020-04-01,91.0
2020-07-01,94.1
2020-10-01,96.4
2021-01-01,93.6
2021-04-01,89.5
2021-07-01,87.8
2021-10-01,90.3
2022-01-01,89.1
2022-04-01,87.1
2022-07-01,88.1
2022-10-01,88.3
2023-01-01,88.8
2023-04-01,90.7
2023-07-01,89.1
2023-10-01,91.3
2024-01-01,91.7
2024-04-01,92.1
2024-07-01,91.7
2024-10-01,93.0
2025-01-01,93.3
