Tarih,TP_BISKREDIGSYIH_QGR3
2000-01-01,9.1
2000-04-01,11.2
2000-07-01,13.0
2000-10-01,14.2
2001-01-01,15.4
2001-04-01,16.2
2001-07-01,16.4
2001-10-01,17.3
2002-01-01,16.5
2002-04-01,16.9
2002-07-01,16.3
2002-10-01,16.5
2003-01-01,15.7
2003-04-01,15.1
2003-07-01,15.8
2003-10-01,16.0
2004-01-01,15.0
2004-04-01,15.9
2004-07-01,15.5
2004-10-01,16.1
2005-01-01,17.2
2005-04-01,18.7
2005-07-01,19.3
2005-10-01,22.0
2006-01-01,20.0
2006-04-01,20.3
2006-07-01,20.6
2006-10-01,21.3
2007-01-01,19.8
2007-04-01,20.4
2007-07-01,20.7
2007-10-01,22.4
2008-01-01,23.7
2008-04-01,24.9
2008-07-01,25.6
2008-10-01,24.9
2009-01-01,23.4
2009-04-01,21.0
2009-07-01,20.7
2009-10-01,19.2
2010-01-01,17.2
2010-04-01,20.8
2010-07-01,19.1
2010-10-01,20.9
2011-01-01,20.4
2011-04-01,20.3
2011-07-01,19.8
2011-10-01,14.5
2012-01-01,13.0
2012-04-01,13.7
2012-07-01,11.6
2012-10-01,10.2
2013-01-01,8.1
2013-04-01,6.1
2013-07-01,3.9
2013-10-01,1.1
2014-01-01,-0.4
2014-04-01,-1.1
2014-07-01,-3.1
2014-10-01,-5.4
2015-01-01,-6.9
2015-04-01,-9.1
2015-07-01,-11.1
2015-10-01,-12.2
2016-01-01,-13.1
2016-04-01,-14.5
2016-07-01,-16.7
2016-10-01,-16.9
2017-01-01,-18.4
2017-04-01,-20.4
2017-07-01,-22.6
2017-10-01,-23.6
2018-01-01,-24.2
2018-04-01,-25.0
2018-07-01,-24.8
2018-10-01,-24.1
2019-01-01,-28.1
2019-04-01,-29.5
2019-07-01,-30.5
2019-10-01,-29.8
2020-01-01,-27.9
2020-04-01,-23.3
2020-07-01,-17.4
2020-10-01,-14.6
2021-01-01,-11.6
2021-04-01,-10.1
2021-07-01,-13.9
2021-10-01,-16.9
2022-01-01,-20.2
2022-04-01,-22.3
2022-07-01,-25.1
2022-10-01,-34.0
2023-01-01,-35.1
2023-04-01,-35.2
2023-07-01,-34.8
2023-10-01,-33.7
2024-01-01,-33.3
2024-04-01,-32.0
2024-07-01,-31.1
2024-10-01,-26.0
2025-01-01,-23.7
