Tarih,TP_BISKREDIGSYIH_QIT2
2000-01-01,69.3
2000-04-01,69.7
2000-07-01,70.2
2000-10-01,70.8
2001-01-01,71.4
2001-04-01,72.0
2001-07-01,72.7
2001-10-01,73.4
2002-01-01,74.0
2002-04-01,74.8
2002-07-01,75.4
2002-10-01,76.2
2003-01-01,76.9
2003-04-01,77.7
2003-07-01,78.4
2003-10-01,79.2
2004-01-01,80.0
2004-04-01,80.8
2004-07-01,81.7
2004-10-01,82.6
2005-01-01,83.5
2005-04-01,84.5
2005-07-01,85.5
2005-10-01,86.5
2006-01-01,87.6
2006-04-01,88.7
2006-07-01,89.9
2006-10-01,91.1
2007-01-01,92.3
2007-04-01,93.6
2007-07-01,94.9
2007-10-01,96.3
2008-01-01,97.9
2008-04-01,99.5
2008-07-01,101.0
2008-10-01,102.4
2009-01-01,103.9
2009-04-01,105.6
2009-07-01,107.3
2009-10-01,108.9
2010-01-01,110.4
2010-04-01,112.0
2010-07-01,113.4
2010-10-01,114.8
2011-01-01,116.2
2011-04-01,117.4
2011-07-01,118.6
2011-10-01,119.7
2012-01-01,120.8
2012-04-01,121.9
2012-07-01,122.9
2012-10-01,123.9
2013-01-01,124.8
2013-04-01,125.6
2013-07-01,126.4
2013-10-01,127.1
2014-01-01,127.7
2014-04-01,128.3
2014-07-01,128.8
2014-10-01,129.2
2015-01-01,129.6
2015-04-01,129.9
2015-07-01,130.1
2015-10-01,130.2
2016-01-01,130.2
2016-04-01,130.1
2016-07-01,130.0
2016-10-01,129.8
2017-01-01,129.6
2017-04-01,129.3
2017-07-01,128.8
2017-10-01,128.4
2018-01-01,128.0
2018-04-01,127.5
2018-07-01,127.0
2018-10-01,126.5
2019-01-01,126.0
2019-04-01,125.4
2019-07-01,124.9
2019-10-01,124.3
2020-01-01,123.9
2020-04-01,123.7
2020-07-01,123.8
2020-10-01,123.9
2021-01-01,124.0
2021-04-01,123.9
2021-07-01,123.6
2021-10-01,123.3
2022-01-01,122.8
2022-04-01,122.3
2022-07-01,121.6
2022-10-01,121.0
2023-01-01,120.1
2023-04-01,119.3
2023-07-01,118.3
2023-10-01,117.3
2024-01-01,116.2
2024-04-01,115.2
2024-07-01,114.1
2024-10-01,113.0
2025-01-01,112.0
