Tarih,TP_BISKREDIGSYIH_QAU2
2000-01-01,129.9
2000-04-01,130.7
2000-07-01,131.5
2000-10-01,132.4
2001-01-01,133.5
2001-04-01,134.3
2001-07-01,135.2
2001-10-01,136.0
2002-01-01,136.8
2002-04-01,137.6
2002-07-01,138.6
2002-10-01,139.5
2003-01-01,140.5
2003-04-01,141.5
2003-07-01,142.5
2003-10-01,143.7
2004-01-01,144.9
2004-04-01,146.1
2004-07-01,147.3
2004-10-01,148.6
2005-01-01,149.9
2005-04-01,151.4
2005-07-01,152.9
2005-10-01,154.6
2006-01-01,156.2
2006-04-01,158.0
2006-07-01,159.8
2006-10-01,161.7
2007-01-01,163.5
2007-04-01,165.4
2007-07-01,167.4
2007-10-01,169.4
2008-01-01,171.5
2008-04-01,173.4
2008-07-01,175.2
2008-10-01,177.0
2009-01-01,178.5
2009-04-01,179.9
2009-07-01,181.3
2009-10-01,182.6
2010-01-01,183.9
2010-04-01,185.0
2010-07-01,185.9
2010-10-01,186.6
2011-01-01,187.1
2011-04-01,187.5
2011-07-01,187.8
2011-10-01,188.0
2012-01-01,188.2
2012-04-01,188.4
2012-07-01,188.6
2012-10-01,188.9
2013-01-01,189.1
2013-04-01,189.4
2013-07-01,189.7
2013-10-01,190.1
2014-01-01,190.4
2014-04-01,190.8
2014-07-01,191.3
2014-10-01,191.8
2015-01-01,192.6
2015-04-01,193.4
2015-07-01,194.4
2015-10-01,195.3
2016-01-01,196.3
2016-04-01,197.3
2016-07-01,198.3
2016-10-01,199.1
2017-01-01,199.7
2017-04-01,200.3
2017-07-01,200.7
2017-10-01,201.1
2018-01-01,201.6
2018-04-01,201.9
2018-07-01,202.3
2018-10-01,202.6
2019-01-01,202.8
2019-04-01,202.9
2019-07-01,202.9
2019-10-01,202.9
2020-01-01,203.0
2020-04-01,203.1
2020-07-01,203.2
2020-10-01,203.1
2021-01-01,203.1
2021-04-01,202.7
2021-07-01,202.2
2021-10-01,201.6
2022-01-01,200.8
2022-04-01,200.0
2022-07-01,199.0
2022-10-01,197.9
2023-01-01,196.6
2023-04-01,195.4
2023-07-01,194.2
2023-10-01,193.1
2024-01-01,192.0
2024-04-01,191.0
2024-07-01,190.0
2024-10-01,189.2
2025-01-01,188.4
