Tarih,TP_BISKREDIGSYIH_QAT1
2000-01-01,129.4
2000-04-01,130.9
2000-07-01,132.9
2000-10-01,132.9
2001-01-01,132.4
2001-04-01,132.9
2001-07-01,134.3
2001-10-01,134.6
2002-01-01,134.3
2002-04-01,135.0
2002-07-01,135.2
2002-10-01,134.4
2003-01-01,135.3
2003-04-01,135.7
2003-07-01,135.4
2003-10-01,137.0
2004-01-01,137.4
2004-04-01,138.8
2004-07-01,139.1
2004-10-01,135.0
2005-01-01,136.5
2005-04-01,137.2
2005-07-01,137.7
2005-10-01,139.3
2006-01-01,135.2
2006-04-01,136.9
2006-07-01,138.1
2006-10-01,136.6
2007-01-01,135.3
2007-04-01,137.9
2007-07-01,138.8
2007-10-01,140.8
2008-01-01,141.3
2008-04-01,140.7
2008-07-01,140.8
2008-10-01,143.2
2009-01-01,143.5
2009-04-01,144.2
2009-07-01,145.8
2009-10-01,145.7
2010-01-01,146.4
2010-04-01,147.9
2010-07-01,147.8
2010-10-01,148.2
2011-01-01,145.6
2011-04-01,145.9
2011-07-01,145.3
2011-10-01,145.8
2012-01-01,145.5
2012-04-01,146.4
2012-07-01,146.1
2012-10-01,144.1
2013-01-01,144.7
2013-04-01,144.3
2013-07-01,144.0
2013-10-01,148.6
2014-01-01,147.9
2014-04-01,148.2
2014-07-01,148.2
2014-10-01,144.6
2015-01-01,146.4
2015-04-01,144.4
2015-07-01,144.4
2015-10-01,144.1
2016-01-01,142.9
2016-04-01,142.5
2016-07-01,143.5
2016-10-01,143.7
2017-01-01,144.2
2017-04-01,143.0
2017-07-01,142.8
2017-10-01,142.6
2018-01-01,143.3
2018-04-01,142.7
2018-07-01,142.9
2018-10-01,142.8
2019-01-01,143.6
2019-04-01,144.5
2019-07-01,142.6
2019-10-01,142.4
2020-01-01,144.2
2020-04-01,150.1
2020-07-01,152.1
2020-10-01,153.3
2021-01-01,157.8
2021-04-01,153.7
2021-07-01,153.4
2021-10-01,153.1
2022-01-01,149.5
2022-04-01,146.7
2022-07-01,144.2
2022-10-01,141.2
2023-01-01,137.7
2023-04-01,135.6
2023-07-01,135.4
2023-10-01,133.8
2024-01-01,134.6
2024-04-01,133.6
2024-07-01,133.4
2024-10-01,132.4
2025-01-01,131.5
