Tarih,TP_BISKREDIGSYIH_QBR2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,47.6
2006-04-01,47.6
2006-07-01,47.7
2006-10-01,47.9
2007-01-01,47.9
2007-04-01,47.8
2007-07-01,47.7
2007-10-01,47.7
2008-01-01,47.8
2008-04-01,48.1
2008-07-01,48.5
2008-10-01,49.0
2009-01-01,49.5
2009-04-01,50.0
2009-07-01,50.5
2009-10-01,51.1
2010-01-01,51.6
2010-04-01,51.9
2010-07-01,52.4
2010-10-01,53.0
2011-01-01,53.5
2011-04-01,54.1
2011-07-01,54.6
2011-10-01,55.3
2012-01-01,55.9
2012-04-01,56.6
2012-07-01,57.3
2012-10-01,58.2
2013-01-01,58.9
2013-04-01,59.8
2013-07-01,60.6
2013-10-01,61.5
2014-01-01,62.3
2014-04-01,63.1
2014-07-01,63.9
2014-10-01,64.9
2015-01-01,65.9
2015-04-01,67.0
2015-07-01,68.2
2015-10-01,69.4
2016-01-01,70.4
2016-04-01,71.1
2016-07-01,71.7
2016-10-01,72.3
2017-01-01,72.8
2017-04-01,73.3
2017-07-01,73.6
2017-10-01,74.0
2018-01-01,74.2
2018-04-01,74.6
2018-07-01,74.9
2018-10-01,75.3
2019-01-01,75.7
2019-04-01,76.1
2019-07-01,76.5
2019-10-01,77.0
2020-01-01,77.7
2020-04-01,78.5
2020-07-01,79.4
2020-10-01,80.2
2021-01-01,81.1
2021-04-01,81.6
2021-07-01,82.2
2021-10-01,82.8
2022-01-01,83.3
2022-04-01,83.8
2022-07-01,84.4
2022-10-01,84.9
2023-01-01,85.4
2023-04-01,85.8
2023-07-01,86.2
2023-10-01,86.7
2024-01-01,87.1
2024-04-01,87.7
2024-07-01,88.3
2024-10-01,89.0
2025-01-01,89.7
