Tarih,TP_BISKREDIGSYIH_QFI3
2000-01-01,-16.5
2000-04-01,-14.5
2000-07-01,-8.5
2000-10-01,-7.8
2001-01-01,-7.9
2001-04-01,-7.3
2001-07-01,-8.8
2001-10-01,-11.1
2002-01-01,-4.0
2002-04-01,-5.3
2002-07-01,-5.9
2002-10-01,-8.2
2003-01-01,-7.4
2003-04-01,-4.2
2003-07-01,-3.3
2003-10-01,-1.9
2004-01-01,-0.4
2004-04-01,1.5
2004-07-01,1.3
2004-10-01,1.0
2005-01-01,1.1
2005-04-01,3.9
2005-07-01,3.6
2005-10-01,4.8
2006-01-01,7.8
2006-04-01,10.2
2006-07-01,10.8
2006-10-01,8.0
2007-01-01,8.5
2007-04-01,9.7
2007-07-01,9.2
2007-10-01,9.8
2008-01-01,8.8
2008-04-01,12.2
2008-07-01,14.3
2008-10-01,17.0
2009-01-01,20.6
2009-04-01,24.5
2009-07-01,20.3
2009-10-01,19.6
2010-01-01,21.8
2010-04-01,23.4
2010-07-01,19.8
2010-10-01,14.7
2011-01-01,14.2
2011-04-01,12.7
2011-07-01,11.1
2011-10-01,10.7
2012-01-01,10.4
2012-04-01,9.8
2012-07-01,9.1
2012-10-01,9.2
2013-01-01,12.5
2013-04-01,11.0
2013-07-01,9.6
2013-10-01,8.5
2014-01-01,6.4
2014-04-01,5.6
2014-07-01,4.9
2014-10-01,10.1
2015-01-01,13.2
2015-04-01,14.9
2015-07-01,15.8
2015-10-01,10.5
2016-01-01,5.9
2016-04-01,3.2
2016-07-01,-0.1
2016-10-01,-3.3
2017-01-01,-2.3
2017-04-01,-1.4
2017-07-01,0.0
2017-10-01,0.2
2018-01-01,-1.0
2018-04-01,-0.8
2018-07-01,-1.7
2018-10-01,-4.2
2019-01-01,-4.1
2019-04-01,-6.1
2019-07-01,-6.8
2019-10-01,-8.8
2020-01-01,-8.5
2020-04-01,-4.8
2020-07-01,-4.2
2020-10-01,-3.1
2021-01-01,-1.4
2021-04-01,-3.5
2021-07-01,-5.1
2021-10-01,-7.3
2022-01-01,-7.7
2022-04-01,-9.2
2022-07-01,-10.3
2022-10-01,-10.6
2023-01-01,-12.0
2023-04-01,-13.5
2023-07-01,-14.6
2023-10-01,-15.4
2024-01-01,-15.3
2024-04-01,-15.5
2024-07-01,-15.5
2024-10-01,-16.3
2025-01-01,-16.9
