Tarih,TP_BISKREDIGSYIH_QCN3
2000-01-01,17.5
2000-04-01,17.9
2000-07-01,17.2
2000-10-01,18.3
2001-01-01,18.7
2001-04-01,18.3
2001-07-01,20.8
2001-10-01,13.9
2002-01-01,11.8
2002-04-01,12.4
2002-07-01,13.9
2002-10-01,8.5
2003-01-01,6.4
2003-04-01,1.1
2003-07-01,-2.6
2003-10-01,-7.0
2004-01-01,-7.0
2004-04-01,-8.5
2004-07-01,-10.3
2004-10-01,-15.0
2005-01-01,-14.5
2005-04-01,-14.5
2005-07-01,-16.4
2005-10-01,-17.3
2006-01-01,-17.8
2006-04-01,-18.4
2006-07-01,-18.5
2006-10-01,-18.3
2007-01-01,-17.4
2007-04-01,-17.2
2007-07-01,-14.1
2007-10-01,-12.1
2008-01-01,-13.1
2008-04-01,-6.9
2008-07-01,-0.3
2008-10-01,6.4
2009-01-01,6.5
2009-04-01,3.2
2009-07-01,4.1
2009-10-01,2.3
2010-01-01,1.6
2010-04-01,1.6
2010-07-01,-4.2
2010-10-01,-6.5
2011-01-01,-6.6
2011-04-01,-6.6
2011-07-01,-3.0
2011-10-01,-0.7
2012-01-01,-1.6
2012-04-01,1.1
2012-07-01,0.5
2012-10-01,4.0
2013-01-01,3.2
2013-04-01,5.6
2013-07-01,6.5
2013-10-01,9.5
2014-01-01,11.2
2014-04-01,11.1
2014-07-01,14.5
2014-10-01,16.3
2015-01-01,15.0
2015-04-01,13.9
2015-07-01,21.0
2015-10-01,19.2
2016-01-01,15.7
2016-04-01,13.3
2016-07-01,11.8
2016-10-01,10.8
2017-01-01,9.3
2017-04-01,7.8
2017-07-01,4.3
2017-10-01,1.2
2018-01-01,-0.5
2018-04-01,-0.1
2018-07-01,1.2
2018-10-01,3.7
2019-01-01,2.8
2019-04-01,5.0
2019-07-01,8.9
2019-10-01,9.8
2020-01-01,14.2
2020-04-01,20.2
2020-07-01,17.6
2020-10-01,6.8
2021-01-01,3.5
2021-04-01,-4.7
2021-07-01,-5.6
2021-10-01,-7.3
2022-01-01,-12.7
2022-04-01,-5.8
2022-07-01,-4.9
2022-10-01,-11.4
2023-01-01,-17.7
2023-04-01,-17.8
2023-07-01,-13.3
2023-10-01,-13.2
2024-01-01,-9.7
2024-04-01,-13.3
2024-07-01,-17.5
2024-10-01,-15.8
2025-01-01,-18.3
