Tarih,TP_BISKREDIGSYIH_QIL2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,106.1
2001-01-01,107.0
2001-04-01,107.9
2001-07-01,109.0
2001-10-01,110.3
2002-01-01,111.8
2002-04-01,113.4
2002-07-01,115.0
2002-10-01,116.2
2003-01-01,117.2
2003-04-01,117.8
2003-07-01,118.4
2003-10-01,119.1
2004-01-01,119.8
2004-04-01,120.5
2004-07-01,121.1
2004-10-01,121.5
2005-01-01,121.9
2005-04-01,122.6
2005-07-01,123.3
2005-10-01,123.9
2006-01-01,124.5
2006-04-01,125.0
2006-07-01,125.3
2006-10-01,125.8
2007-01-01,126.5
2007-04-01,127.3
2007-07-01,128.0
2007-10-01,128.6
2008-01-01,129.1
2008-04-01,129.5
2008-07-01,129.9
2008-10-01,130.0
2009-01-01,130.2
2009-04-01,130.3
2009-07-01,130.4
2009-10-01,130.5
2010-01-01,130.5
2010-04-01,130.6
2010-07-01,130.6
2010-10-01,130.6
2011-01-01,130.6
2011-04-01,130.5
2011-07-01,130.4
2011-10-01,130.2
2012-01-01,130.0
2012-04-01,129.8
2012-07-01,129.5
2012-10-01,129.1
2013-01-01,128.7
2013-04-01,128.2
2013-07-01,127.7
2013-10-01,127.2
2014-01-01,126.6
2014-04-01,126.0
2014-07-01,125.5
2014-10-01,124.9
2015-01-01,124.3
2015-04-01,123.6
2015-07-01,123.0
2015-10-01,122.4
2016-01-01,121.8
2016-04-01,121.3
2016-07-01,120.8
2016-10-01,120.3
2017-01-01,119.8
2017-04-01,119.3
2017-07-01,118.9
2017-10-01,118.4
2018-01-01,118.0
2018-04-01,117.7
2018-07-01,117.3
2018-10-01,116.9
2019-01-01,116.5
2019-04-01,116.1
2019-07-01,115.6
2019-10-01,115.3
2020-01-01,114.8
2020-04-01,114.4
2020-07-01,114.2
2020-10-01,114.0
2021-01-01,114.0
2021-04-01,113.9
2021-07-01,113.9
2021-10-01,113.9
2022-01-01,113.8
2022-04-01,113.9
2022-07-01,113.8
2022-10-01,113.7
2023-01-01,113.6
2023-04-01,113.5
2023-07-01,113.3
2023-10-01,113.1
2024-01-01,112.9
2024-04-01,112.7
2024-07-01,112.6
2024-10-01,112.4
2025-01-01,112.3
