Tarih,TP_BISKREDIGSYIH_QGR1
2000-01-01,48.8
2000-04-01,51.4
2000-07-01,54.0
2000-10-01,56.0
2001-01-01,58.0
2001-04-01,59.9
2001-07-01,61.0
2001-10-01,63.0
2002-01-01,63.3
2002-04-01,64.9
2002-07-01,65.3
2002-10-01,66.7
2003-01-01,67.1
2003-04-01,67.6
2003-07-01,69.5
2003-10-01,70.9
2004-01-01,71.0
2004-04-01,73.3
2004-07-01,74.1
2004-10-01,76.1
2005-01-01,78.6
2005-04-01,81.6
2005-07-01,83.8
2005-10-01,88.3
2006-01-01,88.0
2006-04-01,90.1
2006-07-01,92.2
2006-10-01,94.8
2007-01-01,95.1
2007-04-01,97.6
2007-07-01,99.9
2007-10-01,103.7
2008-01-01,107.2
2008-04-01,110.6
2008-07-01,113.7
2008-10-01,115.4
2009-01-01,116.3
2009-04-01,116.1
2009-07-01,118.1
2009-10-01,118.7
2010-01-01,118.9
2010-04-01,124.8
2010-07-01,125.4
2010-10-01,129.6
2011-01-01,131.6
2011-04-01,133.9
2011-07-01,135.8
2011-10-01,132.7
2012-01-01,133.3
2012-04-01,136.3
2012-07-01,136.2
2012-10-01,136.8
2013-01-01,136.7
2013-04-01,136.5
2013-07-01,136.0
2013-10-01,134.8
2014-01-01,134.7
2014-04-01,135.4
2014-07-01,134.8
2014-10-01,133.6
2015-01-01,133.1
2015-04-01,131.9
2015-07-01,130.7
2015-10-01,130.3
2016-01-01,130.0
2016-04-01,129.2
2016-07-01,127.4
2016-10-01,127.5
2017-01-01,126.2
2017-04-01,124.4
2017-07-01,122.1
2017-10-01,120.9
2018-01-01,120.0
2018-04-01,119.0
2018-07-01,118.7
2018-10-01,119.1
2019-01-01,114.5
2019-04-01,112.4
2019-07-01,110.5
2019-10-01,110.3
2020-01-01,111.4
2020-04-01,115.5
2020-07-01,121.1
2020-10-01,123.7
2021-01-01,126.8
2021-04-01,128.3
2021-07-01,124.3
2021-10-01,121.0
2022-01-01,117.1
2022-04-01,114.3
2022-07-01,110.6
2022-10-01,100.2
2023-01-01,97.5
2023-04-01,95.7
2023-07-01,94.4
2023-10-01,93.8
2024-01-01,92.4
2024-04-01,92.1
2024-07-01,91.2
2024-10-01,94.8
2025-01-01,95.8
