Tarih,TP_BISKREDIGSYIH_QNZ1
2000-01-01,144.2
2000-04-01,145.0
2000-07-01,145.7
2000-10-01,147.2
2001-01-01,149.9
2001-04-01,150.9
2001-07-01,143.8
2001-10-01,144.5
2002-01-01,146.8
2002-04-01,146.4
2002-07-01,147.1
2002-10-01,148.5
2003-01-01,149.6
2003-04-01,150.0
2003-07-01,149.8
2003-10-01,150.3
2004-01-01,151.3
2004-04-01,155.8
2004-07-01,154.4
2004-10-01,159.7
2005-01-01,162.9
2005-04-01,165.1
2005-07-01,167.8
2005-10-01,172.9
2006-01-01,175.0
2006-04-01,179.7
2006-07-01,182.7
2006-10-01,184.1
2007-01-01,188.1
2007-04-01,190.6
2007-07-01,190.2
2007-10-01,190.9
2008-01-01,191.6
2008-04-01,194.1
2008-07-01,196.7
2008-10-01,199.0
2009-01-01,201.1
2009-04-01,200.2
2009-07-01,198.1
2009-10-01,195.0
2010-01-01,193.4
2010-04-01,190.9
2010-07-01,188.3
2010-10-01,186.4
2011-01-01,185.2
2011-04-01,183.5
2011-07-01,180.8
2011-10-01,177.7
2012-01-01,177.6
2012-04-01,176.7
2012-07-01,177.1
2012-10-01,178.6
2013-01-01,178.9
2013-04-01,179.3
2013-07-01,178.2
2013-10-01,175.2
2014-01-01,173.7
2014-04-01,172.7
2014-07-01,172.6
2014-10-01,173.4
2015-01-01,174.2
2015-04-01,174.4
2015-07-01,174.9
2015-10-01,174.8
2016-01-01,175.5
2016-04-01,175.7
2016-07-01,176.9
2016-10-01,176.4
2017-01-01,175.6
2017-04-01,175.1
2017-07-01,174.2
2017-10-01,173.6
2018-01-01,172.7
2018-04-01,172.5
2018-07-01,172.0
2018-10-01,172.4
2019-01-01,171.6
2019-04-01,172.0
2019-07-01,171.8
2019-10-01,170.6
2020-01-01,172.1
2020-04-01,174.7
2020-07-01,173.6
2020-10-01,174.6
2021-01-01,175.1
2021-04-01,170.5
2021-07-01,171.2
2021-10-01,170.8
2022-01-01,170.2
2022-04-01,169.3
2022-07-01,166.6
2022-10-01,165.0
2023-01-01,161.4
2023-04-01,160.8
2023-07-01,159.0
2023-10-01,158.9
2024-01-01,158.2
2024-04-01,158.6
2024-07-01,159.6
2024-10-01,159.7
2025-01-01,159.7
