Tarih,TP_BISKREDIGSYIH_QIL1
2000-01-01,105.8
2000-04-01,106.0
2000-07-01,105.2
2000-10-01,106.7
2001-01-01,107.4
2001-04-01,108.4
2001-07-01,112.0
2001-10-01,115.2
2002-01-01,117.9
2002-04-01,121.3
2002-07-01,122.2
2002-10-01,119.8
2003-01-01,117.0
2003-04-01,113.8
2003-07-01,114.9
2003-10-01,116.3
2004-01-01,117.5
2004-04-01,117.6
2004-07-01,116.9
2004-10-01,116.0
2005-01-01,116.0
2005-04-01,119.5
2005-07-01,121.6
2005-10-01,121.0
2006-01-01,121.1
2006-04-01,119.4
2006-07-01,118.8
2006-10-01,121.4
2007-01-01,123.7
2007-04-01,128.0
2007-07-01,126.0
2007-10-01,126.0
2008-01-01,124.0
2008-04-01,124.8
2008-07-01,123.8
2008-10-01,120.1
2009-01-01,121.8
2009-04-01,120.5
2009-07-01,120.8
2009-10-01,121.1
2010-01-01,119.4
2010-04-01,121.2
2010-07-01,121.2
2010-10-01,120.7
2011-01-01,120.1
2011-04-01,119.2
2011-07-01,119.3
2011-10-01,118.2
2012-01-01,118.4
2012-04-01,117.1
2012-07-01,116.2
2012-10-01,115.9
2013-01-01,114.0
2013-04-01,113.0
2013-07-01,112.9
2013-10-01,111.9
2014-01-01,110.2
2014-04-01,110.6
2014-07-01,112.0
2014-10-01,110.0
2015-01-01,110.1
2015-04-01,107.9
2015-07-01,108.5
2015-10-01,109.1
2016-01-01,108.7
2016-04-01,110.2
2016-07-01,110.1
2016-10-01,110.2
2017-01-01,109.5
2017-04-01,109.8
2017-07-01,111.0
2017-10-01,109.8
2018-01-01,111.2
2018-04-01,111.2
2018-07-01,110.7
2018-10-01,110.0
2019-01-01,109.8
2019-04-01,109.9
2019-07-01,108.6
2019-10-01,109.5
2020-01-01,108.3
2020-04-01,109.1
2020-07-01,111.0
2020-10-01,113.1
2021-01-01,114.8
2021-04-01,113.9
2021-07-01,114.6
2021-10-01,115.1
2022-01-01,114.8
2022-04-01,116.0
2022-07-01,114.5
2022-10-01,113.4
2023-01-01,112.8
2023-04-01,112.6
2023-07-01,111.4
2023-10-01,110.7
2024-01-01,111.0
2024-04-01,110.5
2024-07-01,112.2
2024-10-01,111.4
2025-01-01,111.6
