Tarih,TP_BISKREDIGSYIH_QCO1
2000-01-01,50.9
2000-04-01,49.4
2000-07-01,48.1
2000-10-01,46.9
2001-01-01,46.3
2001-04-01,46.3
2001-07-01,46.1
2001-10-01,46.0
2002-01-01,45.7
2002-04-01,47.5
2002-07-01,47.9
2002-10-01,48.2
2003-01-01,46.6
2003-04-01,45.7
2003-07-01,44.8
2003-10-01,44.0
2004-01-01,42.9
2004-04-01,42.3
2004-07-01,41.4
2004-10-01,40.5
2005-01-01,39.8
2005-04-01,39.6
2005-07-01,39.2
2005-10-01,39.6
2006-01-01,39.4
2006-04-01,40.8
2006-07-01,41.1
2006-10-01,41.7
2007-01-01,41.7
2007-04-01,42.4
2007-07-01,43.1
2007-10-01,43.4
2008-01-01,42.8
2008-04-01,43.0
2008-07-01,43.2
2008-10-01,43.6
2009-01-01,43.8
2009-04-01,44.7
2009-07-01,44.6
2009-10-01,45.2
2010-01-01,44.9
2010-04-01,45.7
2010-07-01,47.1
2010-10-01,48.9
2011-01-01,49.0
2011-04-01,49.5
2011-07-01,50.0
2011-10-01,50.3
2012-01-01,49.4
2012-04-01,49.5
2012-07-01,49.6
2012-10-01,50.7
2013-01-01,51.3
2013-04-01,53.0
2013-07-01,53.8
2013-10-01,54.6
2014-01-01,55.4
2014-04-01,57.5
2014-07-01,58.5
2014-10-01,60.5
2015-01-01,62.0
2015-04-01,64.3
2015-07-01,66.4
2015-10-01,68.0
2016-01-01,66.9
2016-04-01,66.1
2016-07-01,65.4
2016-10-01,64.1
2017-01-01,63.4
2017-04-01,63.5
2017-07-01,62.7
2017-10-01,62.3
2018-01-01,61.9
2018-04-01,61.8
2018-07-01,61.2
2018-10-01,62.0
2019-01-01,61.2
2019-04-01,61.2
2019-07-01,61.4
2019-10-01,60.6
2020-01-01,63.3
2020-04-01,67.5
2020-07-01,68.9
2020-10-01,69.9
2021-01-01,69.7
2021-04-01,67.2
2021-07-01,65.4
2021-10-01,64.2
2022-01-01,63.1
2022-04-01,62.3
2022-07-01,61.1
2022-10-01,60.7
2023-01-01,59.1
2023-04-01,58.7
2023-07-01,58.4
2023-10-01,57.5
2024-01-01,57.1
2024-04-01,56.7
2024-07-01,55.6
2024-10-01,54.9
2025-01-01,54.2
