Tarih,TP_BISKREDIGSYIH_QIN3
2000-01-01,0.5
2000-04-01,1.4
2000-07-01,1.1
2000-10-01,2.8
2001-01-01,3.4
2001-04-01,2.6
2001-07-01,2.4
2001-10-01,3.2
2002-01-01,4.5
2002-04-01,7.2
2002-07-01,6.5
2002-10-01,7.1
2003-01-01,8.1
2003-04-01,6.5
2003-07-01,4.6
2003-10-01,5.1
2004-01-01,7.2
2004-04-01,6.3
2004-07-01,6.2
2004-10-01,9.5
2005-01-01,10.9
2005-04-01,10.8
2005-07-01,14.2
2005-10-01,14.2
2006-01-01,19.7
2006-04-01,17.0
2006-07-01,18.8
2006-10-01,17.5
2007-01-01,21.3
2007-04-01,15.6
2007-07-01,16.4
2007-10-01,16.0
2008-01-01,20.6
2008-04-01,16.6
2008-07-01,17.0
2008-10-01,16.1
2009-01-01,18.1
2009-04-01,13.5
2009-07-01,13.4
2009-10-01,10.3
2010-01-01,12.2
2010-04-01,8.8
2010-07-01,7.0
2010-10-01,9.9
2011-01-01,8.2
2011-04-01,4.8
2011-07-01,3.0
2011-10-01,4.7
2012-01-01,3.5
2012-04-01,-0.2
2012-07-01,0.3
2012-10-01,1.0
2013-01-01,-2.7
2013-04-01,-5.3
2013-07-01,-8.2
2013-10-01,-10.3
2014-01-01,-10.4
2014-04-01,-11.6
2014-07-01,-10.6
2014-10-01,-8.9
2015-01-01,-10.6
2015-04-01,-13.1
2015-07-01,-12.3
2015-10-01,-12.3
2016-01-01,-16.2
2016-04-01,-16.9
2016-07-01,-21.8
2016-10-01,-19.8
2017-01-01,-19.8
2017-04-01,-14.4
2017-07-01,-12.1
2017-10-01,-6.1
2018-01-01,-10.4
2018-04-01,-11.6
2018-07-01,-13.1
2018-10-01,-12.9
2019-01-01,-15.8
2019-04-01,-17.1
2019-07-01,-17.2
2019-10-01,-15.7
2020-01-01,-17.2
2020-04-01,-11.4
2020-07-01,-8.1
2020-10-01,-5.7
2021-01-01,-8.3
2021-04-01,-11.9
2021-07-01,-13.0
2021-10-01,-10.1
2022-01-01,-10.9
2022-04-01,-12.3
2022-07-01,-10.8
2022-10-01,-10.1
2023-01-01,-9.2
2023-04-01,-6.9
2023-07-01,-8.1
2023-10-01,-5.7
2024-01-01,-5.1
2024-04-01,-4.4
2024-07-01,-4.6
2024-10-01,-3.1
2025-01-01,-2.7
