Tarih,TP_BISKREDIGSYIH_QBE3
2000-01-01,18.1
2000-04-01,18.6
2000-07-01,19.2
2000-10-01,20.2
2001-01-01,19.2
2001-04-01,19.5
2001-07-01,18.4
2001-10-01,18.7
2002-01-01,15.8
2002-04-01,13.7
2002-07-01,11.4
2002-10-01,9.2
2003-01-01,6.8
2003-04-01,8.3
2003-07-01,8.8
2003-10-01,9.9
2004-01-01,9.1
2004-04-01,8.0
2004-07-01,7.2
2004-10-01,6.9
2005-01-01,4.9
2005-04-01,3.6
2005-07-01,1.8
2005-10-01,0.4
2006-01-01,-0.5
2006-04-01,-0.3
2006-07-01,-0.5
2006-10-01,-1.5
2007-01-01,0.4
2007-04-01,1.9
2007-07-01,3.7
2007-10-01,4.7
2008-01-01,7.6
2008-04-01,10.8
2008-07-01,13.7
2008-10-01,19.3
2009-01-01,20.7
2009-04-01,21.6
2009-07-01,21.6
2009-10-01,18.3
2010-01-01,13.6
2010-04-01,10.7
2010-07-01,4.3
2010-10-01,0.1
2011-01-01,0.1
2011-04-01,1.9
2011-07-01,1.7
2011-10-01,3.1
2012-01-01,5.4
2012-04-01,7.2
2012-07-01,5.2
2012-10-01,1.6
2013-01-01,3.3
2013-04-01,5.4
2013-07-01,-0.4
2013-10-01,-3.3
2014-01-01,-9.8
2014-04-01,-10.2
2014-07-01,-9.3
2014-10-01,-6.5
2015-01-01,1.3
2015-04-01,-8.1
2015-07-01,-2.7
2015-10-01,-7.4
2016-01-01,7.7
2016-04-01,10.7
2016-07-01,7.8
2016-10-01,6.3
2017-01-01,-0.2
2017-04-01,-4.3
2017-07-01,-9.6
2017-10-01,-9.8
2018-01-01,-14.0
2018-04-01,-14.0
2018-07-01,-17.8
2018-10-01,-16.8
2019-01-01,-15.3
2019-04-01,-17.3
2019-07-01,-13.6
2019-10-01,-17.4
2020-01-01,-19.4
2020-04-01,-15.3
2020-07-01,-15.6
2020-10-01,-8.8
2021-01-01,-9.0
2021-04-01,-16.7
2021-07-01,-17.7
2021-10-01,-22.9
2022-01-01,-28.3
2022-04-01,-28.6
2022-07-01,-29.5
2022-10-01,-35.3
2023-01-01,-35.8
2023-04-01,-36.8
2023-07-01,-37.3
2023-10-01,-36.9
2024-01-01,-34.6
2024-04-01,-34.4
2024-07-01,-34.7
2024-10-01,-33.8
2025-01-01,-34.2
