Tarih,TP_BISKREDIGSYIH_QJP1
2000-01-01,193.6
2000-04-01,189.7
2000-07-01,189.1
2000-10-01,187.5
2001-01-01,184.9
2001-04-01,182.3
2001-07-01,182.1
2001-10-01,182.8
2002-01-01,182.1
2002-04-01,180.8
2002-07-01,178.4
2002-10-01,179.0
2003-01-01,176.6
2003-04-01,173.4
2003-07-01,171.1
2003-10-01,171.0
2004-01-01,168.0
2004-04-01,165.5
2004-07-01,163.8
2004-10-01,164.0
2005-01-01,164.9
2005-04-01,162.7
2005-07-01,163.6
2005-10-01,163.9
2006-01-01,163.0
2006-04-01,162.1
2006-07-01,162.8
2006-10-01,163.0
2007-01-01,162.1
2007-04-01,159.1
2007-07-01,159.7
2007-10-01,160.8
2008-01-01,158.9
2008-04-01,161.1
2008-07-01,161.7
2008-10-01,165.9
2009-01-01,167.5
2009-04-01,169.3
2009-07-01,171.1
2009-10-01,172.3
2010-01-01,169.1
2010-04-01,167.3
2010-07-01,164.9
2010-10-01,163.4
2011-01-01,162.4
2011-04-01,162.3
2011-07-01,163.1
2011-10-01,163.5
2012-01-01,162.4
2012-04-01,159.3
2012-07-01,160.4
2012-10-01,161.7
2013-01-01,161.8
2013-04-01,160.5
2013-07-01,160.2
2013-10-01,160.3
2014-01-01,159.3
2014-04-01,157.5
2014-07-01,157.7
2014-10-01,158.5
2015-01-01,157.2
2015-04-01,154.7
2015-07-01,154.0
2015-10-01,154.4
2016-01-01,153.1
2016-04-01,153.6
2016-07-01,155.0
2016-10-01,156.4
2017-01-01,157.1
2017-04-01,156.4
2017-07-01,156.5
2017-10-01,156.9
2018-01-01,156.2
2018-04-01,156.9
2018-07-01,158.2
2018-10-01,160.2
2019-01-01,161.2
2019-04-01,161.9
2019-07-01,163.4
2019-10-01,165.5
2020-01-01,167.1
2020-04-01,178.8
2020-07-01,182.2
2020-10-01,184.4
2021-01-01,185.5
2021-04-01,183.3
2021-07-01,183.1
2021-10-01,184.8
2022-01-01,184.5
2022-04-01,185.6
2022-07-01,186.0
2022-10-01,186.8
2023-01-01,185.0
2023-04-01,183.8
2023-07-01,182.9
2023-10-01,182.4
2024-01-01,182.9
2024-04-01,182.6
2024-07-01,180.8
2024-10-01,181.8
2025-01-01,180.0
