Tarih,TP_BISKREDIGSYIH_QSG2
2000-01-01,148.8
2000-04-01,149.0
2000-07-01,149.5
2000-10-01,150.1
2001-01-01,150.6
2001-04-01,151.2
2001-07-01,151.9
2001-10-01,152.8
2002-01-01,153.6
2002-04-01,154.3
2002-07-01,155.0
2002-10-01,155.8
2003-01-01,156.4
2003-04-01,157.1
2003-07-01,157.7
2003-10-01,158.1
2004-01-01,158.6
2004-04-01,159.0
2004-07-01,159.3
2004-10-01,159.8
2005-01-01,160.2
2005-04-01,160.9
2005-07-01,161.6
2005-10-01,162.4
2006-01-01,163.2
2006-04-01,164.1
2006-07-01,164.9
2006-10-01,165.7
2007-01-01,166.8
2007-04-01,168.1
2007-07-01,169.6
2007-10-01,171.3
2008-01-01,173.2
2008-04-01,175.4
2008-07-01,177.9
2008-10-01,180.8
2009-01-01,183.9
2009-04-01,187.0
2009-07-01,190.3
2009-10-01,193.6
2010-01-01,196.7
2010-04-01,199.6
2010-07-01,202.2
2010-10-01,204.4
2011-01-01,206.6
2011-04-01,208.7
2011-07-01,210.7
2011-10-01,212.8
2012-01-01,215.1
2012-04-01,217.3
2012-07-01,219.6
2012-10-01,221.4
2013-01-01,223.3
2013-04-01,225.3
2013-07-01,227.1
2013-10-01,228.8
2014-01-01,230.6
2014-04-01,232.3
2014-07-01,233.7
2014-10-01,235.1
2015-01-01,236.6
2015-04-01,238.0
2015-07-01,239.2
2015-10-01,240.5
2016-01-01,241.5
2016-04-01,242.4
2016-07-01,243.5
2016-10-01,244.5
2017-01-01,245.7
2017-04-01,246.8
2017-07-01,247.8
2017-10-01,248.9
2018-01-01,250.0
2018-04-01,251.0
2018-07-01,252.0
2018-10-01,252.7
2019-01-01,253.8
2019-04-01,254.8
2019-07-01,255.8
2019-10-01,256.8
2020-01-01,257.9
2020-04-01,259.3
2020-07-01,260.8
2020-10-01,262.2
2021-01-01,263.9
2021-04-01,265.3
2021-07-01,266.6
2021-10-01,268.2
2022-01-01,269.7
2022-04-01,271.1
2022-07-01,272.4
2022-10-01,273.8
2023-01-01,273.8
2023-04-01,273.8
2023-07-01,273.3
2023-10-01,272.5
2024-01-01,272.4
2024-04-01,272.2
2024-07-01,272.2
2024-10-01,271.9
2025-01-01,271.1
