Tarih,TP_BISKREDIGSYIH_QNZ2
2000-01-01,139.3
2000-04-01,140.7
2000-07-01,142.0
2000-10-01,143.3
2001-01-01,144.7
2001-04-01,146.1
2001-07-01,147.0
2001-10-01,147.9
2002-01-01,148.9
2002-04-01,149.8
2002-07-01,150.7
2002-10-01,151.6
2003-01-01,152.5
2003-04-01,153.4
2003-07-01,154.2
2003-10-01,155.0
2004-01-01,155.8
2004-04-01,156.8
2004-07-01,157.6
2004-10-01,158.7
2005-01-01,160.0
2005-04-01,161.2
2005-07-01,162.6
2005-10-01,164.2
2006-01-01,165.8
2006-04-01,167.6
2006-07-01,169.4
2006-10-01,171.3
2007-01-01,173.3
2007-04-01,175.4
2007-07-01,177.3
2007-10-01,179.2
2008-01-01,181.1
2008-04-01,183.0
2008-07-01,184.9
2008-10-01,186.9
2009-01-01,189.0
2009-04-01,190.8
2009-07-01,192.5
2009-10-01,193.9
2010-01-01,195.2
2010-04-01,196.2
2010-07-01,197.1
2010-10-01,197.8
2011-01-01,198.3
2011-04-01,198.7
2011-07-01,199.0
2011-10-01,199.0
2012-01-01,199.0
2012-04-01,198.8
2012-07-01,198.7
2012-10-01,198.7
2013-01-01,198.6
2013-04-01,198.5
2013-07-01,198.4
2013-10-01,198.0
2014-01-01,197.6
2014-04-01,197.1
2014-07-01,196.5
2014-10-01,196.1
2015-01-01,195.6
2015-04-01,195.1
2015-07-01,194.7
2015-10-01,194.3
2016-01-01,193.9
2016-04-01,193.5
2016-07-01,193.1
2016-10-01,192.7
2017-01-01,192.3
2017-04-01,191.8
2017-07-01,191.3
2017-10-01,190.8
2018-01-01,190.2
2018-04-01,189.6
2018-07-01,189.0
2018-10-01,188.4
2019-01-01,187.8
2019-04-01,187.2
2019-07-01,186.6
2019-10-01,186.0
2020-01-01,185.4
2020-04-01,185.0
2020-07-01,184.6
2020-10-01,184.2
2021-01-01,183.8
2021-04-01,183.2
2021-07-01,182.7
2021-10-01,182.1
2022-01-01,181.5
2022-04-01,180.9
2022-07-01,180.2
2022-10-01,179.3
2023-01-01,178.4
2023-04-01,177.4
2023-07-01,176.3
2023-10-01,175.3
2024-01-01,174.2
2024-04-01,173.2
2024-07-01,172.3
2024-10-01,171.5
2025-01-01,170.6
