Tarih,TP_BISKREDIGSYIH_QTR2
2000-01-01,25.2
2000-04-01,25.4
2000-07-01,25.6
2000-10-01,25.8
2001-01-01,26.3
2001-04-01,26.7
2001-07-01,27.2
2001-10-01,27.4
2002-01-01,27.4
2002-04-01,27.4
2002-07-01,27.3
2002-10-01,27.1
2003-01-01,27.0
2003-04-01,26.7
2003-07-01,26.4
2003-10-01,26.1
2004-01-01,25.9
2004-04-01,25.9
2004-07-01,25.9
2004-10-01,25.8
2005-01-01,25.7
2005-04-01,25.7
2005-07-01,25.7
2005-10-01,26.0
2006-01-01,26.4
2006-04-01,27.1
2006-07-01,27.7
2006-10-01,28.3
2007-01-01,28.8
2007-04-01,29.5
2007-07-01,30.2
2007-10-01,30.9
2008-01-01,31.9
2008-04-01,32.9
2008-07-01,33.9
2008-10-01,34.9
2009-01-01,35.9
2009-04-01,36.8
2009-07-01,37.7
2009-10-01,38.7
2010-01-01,39.7
2010-04-01,40.8
2010-07-01,41.8
2010-10-01,43.0
2011-01-01,44.2
2011-04-01,45.6
2011-07-01,47.0
2011-10-01,48.2
2012-01-01,49.4
2012-04-01,50.6
2012-07-01,51.8
2012-10-01,52.9
2013-01-01,54.1
2013-04-01,55.4
2013-07-01,56.8
2013-10-01,58.3
2014-01-01,59.6
2014-04-01,60.9
2014-07-01,62.3
2014-10-01,63.7
2015-01-01,65.1
2015-04-01,66.6
2015-07-01,68.2
2015-10-01,69.6
2016-01-01,70.9
2016-04-01,72.1
2016-07-01,73.4
2016-10-01,74.8
2017-01-01,76.2
2017-04-01,77.5
2017-07-01,78.7
2017-10-01,79.9
2018-01-01,81.0
2018-04-01,82.2
2018-07-01,83.7
2018-10-01,84.5
2019-01-01,85.3
2019-04-01,86.0
2019-07-01,86.6
2019-10-01,87.1
2020-01-01,87.7
2020-04-01,88.7
2020-07-01,89.9
2020-10-01,90.7
2021-01-01,91.4
2021-04-01,91.8
2021-07-01,92.0
2021-10-01,92.6
2022-01-01,92.9
2022-04-01,92.9
2022-07-01,92.5
2022-10-01,91.7
2023-01-01,90.8
2023-04-01,90.1
2023-07-01,89.1
2023-10-01,88.0
2024-01-01,86.7
2024-04-01,85.3
2024-07-01,83.8
2024-10-01,82.2
2025-01-01,80.7
