Tarih,TP_BISKREDIGSYIH_QDK2
2000-01-01,155.0
2000-04-01,155.1
2000-07-01,155.5
2000-10-01,155.7
2001-01-01,156.3
2001-04-01,157.0
2001-07-01,157.8
2001-10-01,158.9
2002-01-01,159.9
2002-04-01,160.8
2002-07-01,161.7
2002-10-01,162.4
2003-01-01,163.4
2003-04-01,164.5
2003-07-01,165.7
2003-10-01,166.7
2004-01-01,167.9
2004-04-01,169.2
2004-07-01,170.5
2004-10-01,171.8
2005-01-01,173.4
2005-04-01,175.2
2005-07-01,177.0
2005-10-01,179.1
2006-01-01,181.4
2006-04-01,184.0
2006-07-01,186.7
2006-10-01,189.6
2007-01-01,192.5
2007-04-01,195.6
2007-07-01,198.6
2007-10-01,201.8
2008-01-01,205.2
2008-04-01,208.6
2008-07-01,211.9
2008-10-01,215.2
2009-01-01,218.7
2009-04-01,222.3
2009-07-01,226.1
2009-10-01,230.0
2010-01-01,233.8
2010-04-01,237.3
2010-07-01,240.5
2010-10-01,243.2
2011-01-01,245.7
2011-04-01,248.1
2011-07-01,250.8
2011-10-01,253.3
2012-01-01,255.9
2012-04-01,258.4
2012-07-01,260.5
2012-10-01,262.6
2013-01-01,264.3
2013-04-01,265.8
2013-07-01,267.1
2013-10-01,268.2
2014-01-01,269.3
2014-04-01,270.1
2014-07-01,271.2
2014-10-01,272.2
2015-01-01,273.2
2015-04-01,274.0
2015-07-01,274.8
2015-10-01,275.5
2016-01-01,276.3
2016-04-01,277.0
2016-07-01,277.7
2016-10-01,278.2
2017-01-01,278.5
2017-04-01,278.7
2017-07-01,278.6
2017-10-01,278.5
2018-01-01,278.4
2018-04-01,278.4
2018-07-01,278.3
2018-10-01,278.1
2019-01-01,278.0
2019-04-01,278.1
2019-07-01,278.2
2019-10-01,278.4
2020-01-01,277.8
2020-04-01,277.3
2020-07-01,276.1
2020-10-01,274.9
2021-01-01,273.8
2021-04-01,272.4
2021-07-01,271.1
2021-10-01,269.5
2022-01-01,267.7
2022-04-01,265.7
2022-07-01,263.7
2022-10-01,261.7
2023-01-01,259.9
2023-04-01,257.7
2023-07-01,255.9
2023-10-01,254.4
2024-01-01,253.0
2024-04-01,251.6
2024-07-01,250.1
2024-10-01,248.4
2025-01-01,246.6
