Tarih,TP_BISKREDIGSYIH_QNL2
2000-01-01,246.3
2000-04-01,248.3
2000-07-01,250.2
2000-10-01,252.2
2001-01-01,253.9
2001-04-01,255.5
2001-07-01,256.9
2001-10-01,258.3
2002-01-01,259.7
2002-04-01,260.9
2002-07-01,262.1
2002-10-01,263.3
2003-01-01,264.4
2003-04-01,265.6
2003-07-01,266.9
2003-10-01,268.7
2004-01-01,270.4
2004-04-01,272.0
2004-07-01,273.5
2004-10-01,275.0
2005-01-01,276.5
2005-04-01,278.2
2005-07-01,279.9
2005-10-01,281.4
2006-01-01,282.7
2006-04-01,283.9
2006-07-01,285.0
2006-10-01,285.9
2007-01-01,286.9
2007-04-01,287.7
2007-07-01,288.5
2007-10-01,289.1
2008-01-01,289.9
2008-04-01,290.7
2008-07-01,291.3
2008-10-01,291.9
2009-01-01,292.7
2009-04-01,293.7
2009-07-01,294.9
2009-10-01,296.0
2010-01-01,297.4
2010-04-01,299.0
2010-07-01,300.7
2010-10-01,302.4
2011-01-01,304.2
2011-04-01,306.1
2011-07-01,308.1
2011-10-01,310.3
2012-01-01,312.5
2012-04-01,314.9
2012-07-01,317.3
2012-10-01,319.6
2013-01-01,321.8
2013-04-01,324.1
2013-07-01,326.3
2013-10-01,328.3
2014-01-01,330.3
2014-04-01,332.3
2014-07-01,334.2
2014-10-01,336.4
2015-01-01,338.8
2015-04-01,341.0
2015-07-01,342.9
2015-10-01,344.7
2016-01-01,346.3
2016-04-01,347.8
2016-07-01,349.6
2016-10-01,351.2
2017-01-01,352.7
2017-04-01,354.1
2017-07-01,355.3
2017-10-01,356.3
2018-01-01,357.2
2018-04-01,357.8
2018-07-01,358.2
2018-10-01,358.4
2019-01-01,358.3
2019-04-01,358.0
2019-07-01,357.5
2019-10-01,356.8
2020-01-01,356.1
2020-04-01,355.8
2020-07-01,355.6
2020-10-01,355.3
2021-01-01,355.7
2021-04-01,355.6
2021-07-01,355.1
2021-10-01,354.2
2022-01-01,353.0
2022-04-01,351.6
2022-07-01,350.1
2022-10-01,348.2
2023-01-01,345.7
2023-04-01,343.1
2023-07-01,340.6
2023-10-01,337.9
2024-01-01,335.1
2024-04-01,332.1
2024-07-01,329.0
2024-10-01,325.8
2025-01-01,322.5
