Tarih,TP_BISKREDIGSYIH_QHK2
2000-01-01,173.9
2000-04-01,173.8
2000-07-01,174.0
2000-10-01,174.0
2001-01-01,174.1
2001-04-01,174.0
2001-07-01,173.9
2001-10-01,173.8
2002-01-01,173.8
2002-04-01,173.7
2002-07-01,173.5
2002-10-01,173.3
2003-01-01,173.1
2003-04-01,173.1
2003-07-01,173.2
2003-10-01,173.4
2004-01-01,173.7
2004-04-01,173.7
2004-07-01,173.8
2004-10-01,173.9
2005-01-01,174.2
2005-04-01,174.7
2005-07-01,175.0
2005-10-01,175.3
2006-01-01,175.6
2006-04-01,175.9
2006-07-01,176.3
2006-10-01,176.6
2007-01-01,177.1
2007-04-01,178.1
2007-07-01,179.4
2007-10-01,180.2
2008-01-01,181.2
2008-04-01,182.5
2008-07-01,183.8
2008-10-01,184.7
2009-01-01,185.3
2009-04-01,186.3
2009-07-01,187.5
2009-10-01,188.4
2010-01-01,189.6
2010-04-01,191.4
2010-07-01,193.8
2010-10-01,196.1
2011-01-01,199.0
2011-04-01,202.2
2011-07-01,205.3
2011-10-01,207.9
2012-01-01,210.5
2012-04-01,213.1
2012-07-01,215.5
2012-10-01,217.8
2013-01-01,220.5
2013-04-01,223.8
2013-07-01,227.3
2013-10-01,230.5
2014-01-01,234.4
2014-04-01,238.7
2014-07-01,243.1
2014-10-01,246.8
2015-01-01,250.9
2015-04-01,254.8
2015-07-01,258.2
2015-10-01,262.1
2016-01-01,265.7
2016-04-01,269.4
2016-07-01,273.1
2016-10-01,276.8
2017-01-01,280.9
2017-04-01,285.7
2017-07-01,290.5
2017-10-01,295.5
2018-01-01,300.7
2018-04-01,305.4
2018-07-01,309.3
2018-10-01,313.1
2019-01-01,316.7
2019-04-01,320.6
2019-07-01,324.4
2019-10-01,328.3
2020-01-01,333.0
2020-04-01,337.8
2020-07-01,343.4
2020-10-01,348.4
2021-01-01,353.4
2021-04-01,358.6
2021-07-01,362.7
2021-10-01,365.9
2022-01-01,369.7
2022-04-01,373.4
2022-07-01,376.4
2022-10-01,379.2
2023-01-01,382.0
2023-04-01,384.5
2023-07-01,386.3
2023-10-01,387.9
2024-01-01,389.1
2024-04-01,389.3
2024-07-01,389.1
2024-10-01,388.4
2025-01-01,387.9
