Tarih,TP_BISKREDIGSYIH_QCL2
2000-01-01,89.6
2000-04-01,90.8
2000-07-01,91.9
2000-10-01,93.2
2001-01-01,93.8
2001-04-01,94.5
2001-07-01,95.1
2001-10-01,95.7
2002-01-01,96.8
2002-04-01,97.9
2002-07-01,99.2
2002-10-01,100.4
2003-01-01,101.8
2003-04-01,103.4
2003-07-01,105.0
2003-10-01,106.5
2004-01-01,108.1
2004-04-01,109.4
2004-07-01,110.4
2004-10-01,111.4
2005-01-01,112.2
2005-04-01,112.8
2005-07-01,113.4
2005-10-01,113.8
2006-01-01,114.3
2006-04-01,114.9
2006-07-01,115.3
2006-10-01,115.6
2007-01-01,116.0
2007-04-01,116.4
2007-07-01,116.7
2007-10-01,116.8
2008-01-01,116.9
2008-04-01,117.0
2008-07-01,117.0
2008-10-01,117.0
2009-01-01,117.6
2009-04-01,118.7
2009-07-01,120.0
2009-10-01,121.4
2010-01-01,122.8
2010-04-01,124.3
2010-07-01,125.7
2010-10-01,127.0
2011-01-01,128.3
2011-04-01,129.5
2011-07-01,130.6
2011-10-01,131.7
2012-01-01,133.0
2012-04-01,134.3
2012-07-01,135.7
2012-10-01,137.2
2013-01-01,139.0
2013-04-01,140.9
2013-07-01,142.8
2013-10-01,144.8
2014-01-01,146.8
2014-04-01,149.0
2014-07-01,151.1
2014-10-01,153.2
2015-01-01,155.5
2015-04-01,157.8
2015-07-01,160.2
2015-10-01,162.8
2016-01-01,165.5
2016-04-01,168.0
2016-07-01,170.4
2016-10-01,172.6
2017-01-01,174.8
2017-04-01,176.8
2017-07-01,178.5
2017-10-01,180.1
2018-01-01,181.5
2018-04-01,182.8
2018-07-01,183.9
2018-10-01,184.9
2019-01-01,186.0
2019-04-01,186.9
2019-07-01,187.9
2019-10-01,188.7
2020-01-01,190.0
2020-04-01,191.5
2020-07-01,193.0
2020-10-01,194.3
2021-01-01,195.4
2021-04-01,196.3
2021-07-01,197.1
2021-10-01,197.6
2022-01-01,198.3
2022-04-01,199.0
2022-07-01,199.7
2022-10-01,200.3
2023-01-01,201.2
2023-04-01,202.0
2023-07-01,202.8
2023-10-01,203.6
2024-01-01,204.5
2024-04-01,205.3
2024-07-01,206.1
2024-10-01,206.7
2025-01-01,207.5
