Tarih,TP_BISKREDIGSYIH_QNO1
2000-01-01,161.6
2000-04-01,159.9
2000-07-01,162.8
2000-10-01,156.3
2001-01-01,156.5
2001-04-01,159.3
2001-07-01,158.5
2001-10-01,164.0
2002-01-01,169.3
2002-04-01,171.1
2002-07-01,173.3
2002-10-01,173.6
2003-01-01,176.3
2003-04-01,180.7
2003-07-01,178.9
2003-10-01,176.4
2004-01-01,180.4
2004-04-01,182.8
2004-07-01,183.4
2004-10-01,181.6
2005-01-01,181.3
2005-04-01,181.6
2005-07-01,179.9
2005-10-01,180.9
2006-01-01,180.3
2006-04-01,180.7
2006-07-01,182.1
2006-10-01,182.5
2007-01-01,188.6
2007-04-01,195.4
2007-07-01,196.2
2007-10-01,200.7
2008-01-01,205.2
2008-04-01,206.5
2008-07-01,208.2
2008-10-01,214.7
2009-01-01,219.1
2009-04-01,224.8
2009-07-01,225.5
2009-10-01,224.2
2010-01-01,222.3
2010-04-01,225.5
2010-07-01,225.7
2010-10-01,224.5
2011-01-01,224.4
2011-04-01,222.4
2011-07-01,219.3
2011-10-01,217.3
2012-01-01,226.2
2012-04-01,224.6
2012-07-01,224.2
2012-10-01,224.4
2013-01-01,224.8
2013-04-01,226.1
2013-07-01,224.1
2013-10-01,222.2
2014-01-01,222.6
2014-04-01,223.2
2014-07-01,224.9
2014-10-01,227.9
2015-01-01,233.9
2015-04-01,238.2
2015-07-01,243.5
2015-10-01,248.6
2016-01-01,250.5
2016-04-01,254.0
2016-07-01,256.4
2016-10-01,256.2
2017-01-01,252.0
2017-04-01,249.8
2017-07-01,246.2
2017-10-01,243.8
2018-01-01,241.3
2018-04-01,239.0
2018-07-01,234.6
2018-10-01,231.6
2019-01-01,231.6
2019-04-01,237.1
2019-07-01,242.4
2019-10-01,245.8
2020-01-01,252.4
2020-04-01,264.7
2020-07-01,271.8
2020-10-01,277.4
2021-01-01,278.6
2021-04-01,270.8
2021-07-01,258.7
2021-10-01,239.9
2022-01-01,225.6
2022-04-01,214.6
2022-07-01,199.9
2022-10-01,200.4
2023-01-01,205.5
2023-04-01,212.5
2023-07-01,227.3
2023-10-01,231.1
2024-01-01,233.6
2024-04-01,232.7
2024-07-01,231.9
2024-10-01,232.8
2025-01-01,228.1
