Tarih,TP_BISKREDIGSYIH_QBE1
2000-01-01,138.7
2000-04-01,140.9
2000-07-01,143.4
2000-10-01,146.2
2001-01-01,147.1
2001-04-01,149.2
2001-07-01,150.0
2001-10-01,152.2
2002-01-01,151.1
2002-04-01,150.7
2002-07-01,149.9
2002-10-01,149.2
2003-01-01,148.1
2003-04-01,151.0
2003-07-01,153.0
2003-10-01,155.7
2004-01-01,156.4
2004-04-01,156.7
2004-07-01,157.4
2004-10-01,158.5
2005-01-01,157.8
2005-04-01,157.8
2005-07-01,157.2
2005-10-01,156.9
2006-01-01,157.0
2006-04-01,158.2
2006-07-01,159.0
2006-10-01,159.1
2007-01-01,162.0
2007-04-01,164.6
2007-07-01,167.7
2007-10-01,170.1
2008-01-01,174.6
2008-04-01,179.4
2008-07-01,184.3
2008-10-01,192.1
2009-01-01,195.8
2009-04-01,199.2
2009-07-01,201.6
2009-10-01,200.7
2010-01-01,198.0
2010-04-01,197.1
2010-07-01,192.3
2010-10-01,189.4
2011-01-01,190.7
2011-04-01,194.0
2011-07-01,195.2
2011-10-01,198.2
2012-01-01,202.1
2012-04-01,205.7
2012-07-01,205.4
2012-10-01,203.2
2013-01-01,206.5
2013-04-01,210.3
2013-07-01,205.9
2013-10-01,204.2
2014-01-01,198.5
2014-04-01,198.9
2014-07-01,200.6
2014-10-01,204.4
2015-01-01,213.6
2015-04-01,205.1
2015-07-01,211.6
2015-10-01,207.8
2016-01-01,224.7
2016-04-01,229.6
2016-07-01,228.5
2016-10-01,228.7
2017-01-01,223.5
2017-04-01,220.6
2017-07-01,216.0
2017-10-01,216.6
2018-01-01,212.9
2018-04-01,213.4
2018-07-01,209.8
2018-10-01,211.1
2019-01-01,212.9
2019-04-01,211.1
2019-07-01,215.2
2019-10-01,211.6
2020-01-01,209.6
2020-04-01,213.9
2020-07-01,213.7
2020-10-01,221.0
2021-01-01,221.4
2021-04-01,213.6
2021-07-01,212.6
2021-10-01,207.0
2022-01-01,200.9
2022-04-01,199.8
2022-07-01,198.0
2022-10-01,191.0
2023-01-01,189.0
2023-04-01,186.6
2023-07-01,184.5
2023-10-01,183.3
2024-01-01,184.1
2024-04-01,182.8
2024-07-01,180.8
2024-10-01,180.1
2025-01-01,177.9
