Tarih,TP_BISKREDIGSYIH_QZA1
2000-01-01,60.1
2000-04-01,59.3
2000-07-01,60.4
2000-10-01,60.0
2001-01-01,59.6
2001-04-01,58.9
2001-07-01,60.4
2001-10-01,63.6
2002-01-01,60.7
2002-04-01,59.6
2002-07-01,58.8
2002-10-01,56.9
2003-01-01,60.5
2003-04-01,59.9
2003-07-01,60.5
2003-10-01,61.3
2004-01-01,59.1
2004-04-01,57.9
2004-07-01,59.2
2004-10-01,61.1
2005-01-01,61.8
2005-04-01,63.5
2005-07-01,64.9
2005-10-01,66.5
2006-01-01,69.3
2006-04-01,70.6
2006-07-01,74.3
2006-10-01,75.9
2007-01-01,76.5
2007-04-01,78.0
2007-07-01,79.7
2007-10-01,80.0
2008-01-01,82.5
2008-04-01,81.8
2008-07-01,81.3
2008-10-01,80.5
2009-01-01,80.4
2009-04-01,78.1
2009-07-01,77.3
2009-10-01,77.7
2010-01-01,77.0
2010-04-01,76.3
2010-07-01,76.5
2010-10-01,74.8
2011-01-01,73.9
2011-04-01,73.2
2011-07-01,72.2
2011-10-01,72.1
2012-01-01,73.1
2012-04-01,72.8
2012-07-01,73.9
2012-10-01,74.6
2013-01-01,75.2
2013-04-01,75.6
2013-07-01,75.4
2013-10-01,75.4
2014-01-01,76.1
2014-04-01,76.0
2014-07-01,76.2
2014-10-01,75.1
2015-01-01,76.1
2015-04-01,75.8
2015-07-01,76.1
2015-10-01,77.7
2016-01-01,78.5
2016-04-01,76.6
2016-07-01,76.4
2016-10-01,75.8
2017-01-01,76.3
2017-04-01,75.0
2017-07-01,75.3
2017-10-01,74.5
2018-01-01,75.0
2018-04-01,74.5
2018-07-01,74.6
2018-10-01,73.7
2019-01-01,75.8
2019-04-01,74.6
2019-07-01,75.5
2019-10-01,74.2
2020-01-01,76.5
2020-04-01,77.2
2020-07-01,75.8
2020-10-01,75.2
2021-01-01,75.1
2021-04-01,70.0
2021-07-01,69.5
2021-10-01,67.7
2022-01-01,67.8
2022-04-01,67.8
2022-07-01,68.5
2022-10-01,68.8
2023-01-01,69.3
2023-04-01,68.1
2023-07-01,68.4
2023-10-01,67.3
2024-01-01,68.6
2024-04-01,67.2
2024-07-01,67.8
2024-10-01,66.9
2025-01-01,67.1
