Tarih,TP_BISKREDIGSYIH_QZA3
2000-01-01,2.4
2000-04-01,1.5
2000-07-01,2.4
2000-10-01,1.8
2001-01-01,1.2
2001-04-01,0.4
2001-07-01,1.8
2001-10-01,4.6
2002-01-01,1.5
2002-04-01,0.3
2002-07-01,-0.5
2002-10-01,-2.4
2003-01-01,1.0
2003-04-01,0.3
2003-07-01,0.8
2003-10-01,1.4
2004-01-01,-0.8
2004-04-01,-2.1
2004-07-01,-0.8
2004-10-01,1.0
2005-01-01,1.4
2005-04-01,2.9
2005-07-01,4.0
2005-10-01,5.1
2006-01-01,7.4
2006-04-01,8.1
2006-07-01,11.0
2006-10-01,11.8
2007-01-01,11.6
2007-04-01,12.1
2007-07-01,12.9
2007-10-01,12.2
2008-01-01,13.7
2008-04-01,12.0
2008-07-01,10.5
2008-10-01,9.0
2009-01-01,8.1
2009-04-01,5.1
2009-07-01,3.8
2009-10-01,3.5
2010-01-01,2.3
2010-04-01,1.2
2010-07-01,1.0
2010-10-01,-1.1
2011-01-01,-2.1
2011-04-01,-3.0
2011-07-01,-4.2
2011-10-01,-4.4
2012-01-01,-3.6
2012-04-01,-3.9
2012-07-01,-3.0
2012-10-01,-2.5
2013-01-01,-2.1
2013-04-01,-1.9
2013-07-01,-2.3
2013-10-01,-2.5
2014-01-01,-2.0
2014-04-01,-2.3
2014-07-01,-2.2
2014-10-01,-3.4
2015-01-01,-2.6
2015-04-01,-3.0
2015-07-01,-2.9
2015-10-01,-1.4
2016-01-01,-0.9
2016-04-01,-2.9
2016-07-01,-3.2
2016-10-01,-3.9
2017-01-01,-3.4
2017-04-01,-4.7
2017-07-01,-4.4
2017-10-01,-5.1
2018-01-01,-4.6
2018-04-01,-5.1
2018-07-01,-4.8
2018-10-01,-5.6
2019-01-01,-3.6
2019-04-01,-4.7
2019-07-01,-3.8
2019-10-01,-4.9
2020-01-01,-2.6
2020-04-01,-2.0
2020-07-01,-3.4
2020-10-01,-3.9
2021-01-01,-4.0
2021-04-01,-8.8
2021-07-01,-8.8
2021-10-01,-10.1
2022-01-01,-9.6
2022-04-01,-9.2
2022-07-01,-8.0
2022-10-01,-7.4
2023-01-01,-6.6
2023-04-01,-7.4
2023-07-01,-6.8
2023-10-01,-7.4
2024-01-01,-5.8
2024-04-01,-6.8
2024-07-01,-5.8
2024-10-01,-6.3
2025-01-01,-5.8
