Tarih,TP_BISKREDIGSYIH_QIE1
2000-01-01,133.1
2000-04-01,128.1
2000-07-01,130.2
2000-10-01,128.6
2001-01-01,128.3
2001-04-01,129.7
2001-07-01,128.3
2001-10-01,134.6
2002-01-01,135.2
2002-04-01,137.2
2002-07-01,136.1
2002-10-01,132.6
2003-01-01,126.5
2003-04-01,129.5
2003-07-01,133.2
2003-10-01,141.2
2004-01-01,142.4
2004-04-01,141.6
2004-07-01,147.1
2004-10-01,159.2
2005-01-01,158.0
2005-04-01,160.8
2005-07-01,170.6
2005-10-01,176.7
2006-01-01,190.6
2006-04-01,203.1
2006-07-01,208.1
2006-10-01,213.9
2007-01-01,218.5
2007-04-01,221.0
2007-07-01,226.2
2007-10-01,227.3
2008-01-01,240.4
2008-04-01,252.9
2008-07-01,265.9
2008-10-01,282.9
2009-01-01,287.5
2009-04-01,291.2
2009-07-01,297.8
2009-10-01,302.4
2010-01-01,303.8
2010-04-01,301.3
2010-07-01,293.6
2010-10-01,310.3
2011-01-01,310.9
2011-04-01,307.5
2011-07-01,311.2
2011-10-01,312.7
2012-01-01,320.3
2012-04-01,325.1
2012-07-01,324.0
2012-10-01,312.1
2013-01-01,298.3
2013-04-01,291.4
2013-07-01,285.2
2013-10-01,283.7
2014-01-01,281.2
2014-04-01,270.3
2014-07-01,270.7
2014-10-01,278.3
2015-01-01,377.5
2015-04-01,345.5
2015-07-01,318.5
2015-10-01,305.4
2016-01-01,310.5
2016-04-01,314.3
2016-07-01,302.5
2016-10-01,303.4
2017-01-01,319.4
2017-04-01,297.2
2017-07-01,287.0
2017-10-01,277.9
2018-01-01,267.2
2018-04-01,268.1
2018-07-01,266.1
2018-10-01,270.8
2019-01-01,260.9
2019-04-01,256.5
2019-07-01,251.8
2019-10-01,233.1
2020-01-01,245.7
2020-04-01,245.8
2020-07-01,223.6
2020-10-01,214.2
2021-01-01,204.4
2021-04-01,193.7
2021-07-01,186.7
2021-10-01,180.6
2022-01-01,178.4
2022-04-01,176.6
2022-07-01,177.9
2022-10-01,162.3
2023-01-01,159.0
2023-04-01,158.5
2023-07-01,160.7
2023-10-01,155.2
2024-01-01,156.3
2024-04-01,157.1
2024-07-01,152.4
2024-10-01,141.7
2025-01-01,132.4
