Tarih,TP_BISKREDIGSYIH_QCA2
2000-01-01,151.9
2000-04-01,152.1
2000-07-01,152.3
2000-10-01,152.4
2001-01-01,152.6
2001-04-01,152.7
2001-07-01,153.1
2001-10-01,153.4
2002-01-01,153.9
2002-04-01,154.4
2002-07-01,155.0
2002-10-01,155.5
2003-01-01,155.7
2003-04-01,156.0
2003-07-01,156.2
2003-10-01,156.4
2004-01-01,156.8
2004-04-01,157.1
2004-07-01,157.4
2004-10-01,157.6
2005-01-01,157.7
2005-04-01,157.9
2005-07-01,158.0
2005-10-01,157.9
2006-01-01,157.9
2006-04-01,157.8
2006-07-01,157.9
2006-10-01,158.0
2007-01-01,158.5
2007-04-01,158.9
2007-07-01,159.4
2007-10-01,159.9
2008-01-01,160.5
2008-04-01,161.1
2008-07-01,161.6
2008-10-01,162.3
2009-01-01,163.2
2009-04-01,164.3
2009-07-01,165.7
2009-10-01,167.1
2010-01-01,168.4
2010-04-01,169.6
2010-07-01,170.7
2010-10-01,171.8
2011-01-01,172.8
2011-04-01,173.7
2011-07-01,174.7
2011-10-01,175.5
2012-01-01,176.4
2012-04-01,177.2
2012-07-01,178.2
2012-10-01,179.1
2013-01-01,180.2
2013-04-01,181.3
2013-07-01,182.4
2013-10-01,183.5
2014-01-01,184.6
2014-04-01,185.7
2014-07-01,186.8
2014-10-01,187.9
2015-01-01,189.3
2015-04-01,190.7
2015-07-01,192.3
2015-10-01,194.0
2016-01-01,195.5
2016-04-01,197.2
2016-07-01,199.0
2016-10-01,200.6
2017-01-01,202.3
2017-04-01,203.8
2017-07-01,205.2
2017-10-01,206.6
2018-01-01,207.9
2018-04-01,209.3
2018-07-01,210.5
2018-10-01,211.8
2019-01-01,213.0
2019-04-01,214.3
2019-07-01,215.7
2019-10-01,216.9
2020-01-01,218.4
2020-04-01,220.4
2020-07-01,222.6
2020-10-01,224.8
2021-01-01,226.9
2021-04-01,228.5
2021-07-01,230.0
2021-10-01,231.1
2022-01-01,231.9
2022-04-01,232.2
2022-07-01,232.5
2022-10-01,232.6
2023-01-01,232.7
2023-04-01,232.9
2023-07-01,233.0
2023-10-01,233.2
2024-01-01,233.2
2024-04-01,233.2
2024-07-01,233.2
2024-10-01,233.1
2025-01-01,233.0
