Tarih,TP_BISKREDIGSYIH_QTH3
2000-01-01,-34.0
2000-04-01,-43.3
2000-07-01,-56.1
2000-10-01,-60.2
2001-01-01,-60.3
2001-04-01,-68.7
2001-07-01,-67.2
2001-10-01,-69.9
2002-01-01,-60.9
2002-04-01,-61.9
2002-07-01,-59.4
2002-10-01,-58.9
2003-01-01,-58.4
2003-04-01,-56.4
2003-07-01,-56.7
2003-10-01,-59.1
2004-01-01,-54.8
2004-04-01,-52.4
2004-07-01,-46.2
2004-10-01,-47.4
2005-01-01,-46.2
2005-04-01,-43.6
2005-07-01,-41.9
2005-10-01,-40.7
2006-01-01,-40.9
2006-04-01,-40.2
2006-07-01,-39.0
2006-10-01,-38.4
2007-01-01,-39.1
2007-04-01,-37.3
2007-07-01,-36.0
2007-10-01,-35.1
2008-01-01,-33.2
2008-04-01,-30.4
2008-07-01,-27.9
2008-10-01,-23.2
2009-01-01,-21.0
2009-04-01,-16.9
2009-07-01,-13.7
2009-10-01,-13.5
2010-01-01,-16.3
2010-04-01,-16.2
2010-07-01,-16.0
2010-10-01,-10.8
2011-01-01,-8.3
2011-04-01,-5.5
2011-07-01,-2.7
2011-10-01,3.5
2012-01-01,6.0
2012-04-01,8.1
2012-07-01,10.2
2012-10-01,9.1
2013-01-01,8.7
2013-04-01,11.6
2013-07-01,11.5
2013-10-01,15.1
2014-01-01,15.2
2014-04-01,15.6
2014-07-01,15.6
2014-10-01,17.3
2015-01-01,16.5
2015-04-01,17.1
2015-07-01,17.6
2015-10-01,18.1
2016-01-01,19.0
2016-04-01,17.5
2016-07-01,14.7
2016-10-01,12.6
2017-01-01,9.8
2017-04-01,9.4
2017-07-01,7.3
2017-10-01,7.4
2018-01-01,6.0
2018-04-01,6.3
2018-07-01,5.9
2018-10-01,7.2
2019-01-01,6.3
2019-04-01,5.7
2019-07-01,5.2
2019-10-01,6.4
2020-01-01,9.3
2020-04-01,15.7
2020-07-01,19.8
2020-10-01,23.9
2021-01-01,25.3
2021-04-01,21.5
2021-07-01,22.4
2021-10-01,21.3
2022-01-01,19.2
2022-04-01,16.8
2022-07-01,13.7
2022-10-01,11.2
2023-01-01,9.1
2023-04-01,8.5
2023-07-01,7.7
2023-10-01,7.1
2024-01-01,5.9
2024-04-01,3.0
2024-07-01,-0.4
2024-10-01,-1.5
2025-01-01,-3.3
