Tarih,TP_BISKREDIGSYIH_QRU2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,36.0
2005-07-01,36.8
2005-10-01,38.0
2006-01-01,39.0
2006-04-01,40.0
2006-07-01,40.9
2006-10-01,42.1
2007-01-01,43.2
2007-04-01,44.9
2007-07-01,46.7
2007-10-01,48.3
2008-01-01,50.0
2008-04-01,51.6
2008-07-01,53.1
2008-10-01,54.8
2009-01-01,56.7
2009-04-01,58.3
2009-07-01,59.9
2009-10-01,61.5
2010-01-01,62.7
2010-04-01,63.7
2010-07-01,64.7
2010-10-01,65.4
2011-01-01,65.9
2011-04-01,66.4
2011-07-01,67.0
2011-10-01,67.6
2012-01-01,68.2
2012-04-01,68.9
2012-07-01,69.6
2012-10-01,70.5
2013-01-01,71.4
2013-04-01,72.4
2013-07-01,73.7
2013-10-01,75.0
2014-01-01,76.4
2014-04-01,77.8
2014-07-01,79.3
2014-10-01,81.3
2015-01-01,83.2
2015-04-01,84.9
2015-07-01,86.9
2015-10-01,88.9
2016-01-01,90.7
2016-04-01,92.3
2016-07-01,93.8
2016-10-01,95.1
2017-01-01,96.3
2017-04-01,97.5
2017-07-01,98.6
2017-10-01,99.7
2018-01-01,100.7
2018-04-01,101.6
2018-07-01,102.5
2018-10-01,103.3
2019-01-01,103.9
2019-04-01,104.4
2019-07-01,105.0
2019-10-01,105.7
2020-01-01,106.7
2020-04-01,107.7
2020-07-01,109.1
2020-10-01,110.4
2021-01-01,111.5
2021-04-01,112.2
2021-07-01,112.8
2021-10-01,113.0
2022-01-01,113.1
2022-04-01,112.6
2022-07-01,112.2
2022-10-01,111.9
2023-01-01,111.8
2023-04-01,111.8
2023-07-01,111.8
2023-10-01,111.8
2024-01-01,111.8
2024-04-01,111.7
2024-07-01,111.7
2024-10-01,111.6
2025-01-01,111.4
