Tarih,TP_BISKREDIGSYIH_QES2
2000-01-01,90.4
2000-04-01,91.9
2000-07-01,93.6
2000-10-01,95.3
2001-01-01,97.0
2001-04-01,98.9
2001-07-01,100.8
2001-10-01,102.8
2002-01-01,104.9
2002-04-01,106.9
2002-07-01,109.0
2002-10-01,111.0
2003-01-01,113.1
2003-04-01,115.3
2003-07-01,117.5
2003-10-01,119.8
2004-01-01,122.2
2004-04-01,124.8
2004-07-01,127.4
2004-10-01,130.1
2005-01-01,133.0
2005-04-01,136.0
2005-07-01,139.1
2005-10-01,142.3
2006-01-01,145.8
2006-04-01,149.4
2006-07-01,153.2
2006-10-01,157.1
2007-01-01,161.1
2007-04-01,165.3
2007-07-01,169.5
2007-10-01,173.7
2008-01-01,177.6
2008-04-01,181.5
2008-07-01,185.4
2008-10-01,189.2
2009-01-01,192.9
2009-04-01,196.7
2009-07-01,200.3
2009-10-01,204.0
2010-01-01,207.5
2010-04-01,211.0
2010-07-01,214.2
2010-10-01,217.3
2011-01-01,220.1
2011-04-01,222.7
2011-07-01,225.1
2011-10-01,227.4
2012-01-01,229.5
2012-04-01,231.6
2012-07-01,233.4
2012-10-01,234.7
2013-01-01,235.8
2013-04-01,236.6
2013-07-01,237.2
2013-10-01,237.7
2014-01-01,237.8
2014-04-01,237.8
2014-07-01,237.5
2014-10-01,237.0
2015-01-01,236.2
2015-04-01,235.2
2015-07-01,234.0
2015-10-01,232.6
2016-01-01,231.0
2016-04-01,229.4
2016-07-01,227.6
2016-10-01,225.8
2017-01-01,223.9
2017-04-01,221.8
2017-07-01,219.6
2017-10-01,217.3
2018-01-01,215.0
2018-04-01,212.6
2018-07-01,210.3
2018-10-01,207.8
2019-01-01,205.4
2019-04-01,203.0
2019-07-01,200.6
2019-10-01,198.2
2020-01-01,195.8
2020-04-01,194.2
2020-07-01,192.7
2020-10-01,191.5
2021-01-01,190.4
2021-04-01,189.1
2021-07-01,187.6
2021-10-01,185.9
2022-01-01,184.0
2022-04-01,182.0
2022-07-01,179.8
2022-10-01,177.5
2023-01-01,175.0
2023-04-01,172.5
2023-07-01,169.8
2023-10-01,167.1
2024-01-01,164.4
2024-04-01,161.8
2024-07-01,159.2
2024-10-01,156.5
2025-01-01,153.9
