Tarih,TP_BISKREDIGSYIH_QPL3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,3.8
2002-04-01,5.4
2002-07-01,6.5
2002-10-01,6.0
2003-01-01,5.7
2003-04-01,3.9
2003-07-01,3.1
2003-10-01,1.3
2004-01-01,1.0
2004-04-01,-0.6
2004-07-01,-2.1
2004-10-01,-5.6
2005-01-01,-6.4
2005-04-01,-6.0
2005-07-01,-6.0
2005-10-01,-5.3
2006-01-01,-4.6
2006-04-01,-3.0
2006-07-01,-1.0
2006-10-01,0.0
2007-01-01,0.6
2007-04-01,1.8
2007-07-01,3.7
2007-10-01,4.2
2008-01-01,5.2
2008-04-01,5.7
2008-07-01,7.6
2008-10-01,12.7
2009-01-01,15.2
2009-04-01,12.3
2009-07-01,10.1
2009-10-01,7.2
2010-01-01,6.4
2010-04-01,7.9
2010-07-01,6.2
2010-10-01,5.9
2011-01-01,4.1
2011-04-01,4.2
2011-07-01,6.3
2011-10-01,5.7
2012-01-01,3.8
2012-04-01,3.4
2012-07-01,2.1
2012-10-01,2.0
2013-01-01,2.0
2013-04-01,2.9
2013-07-01,2.5
2013-10-01,1.1
2014-01-01,0.6
2014-04-01,0.9
2014-07-01,0.6
2014-10-01,0.3
2015-01-01,0.3
2015-04-01,0.3
2015-07-01,-0.1
2015-10-01,-1.5
2016-01-01,-2.1
2016-04-01,-1.8
2016-07-01,-2.9
2016-10-01,-1.4
2017-01-01,-3.5
2017-04-01,-5.0
2017-07-01,-6.3
2017-10-01,-8.0
2018-01-01,-7.7
2018-04-01,-8.0
2018-07-01,-8.8
2018-10-01,-10.0
2019-01-01,-10.7
2019-04-01,-11.7
2019-07-01,-11.3
2019-10-01,-12.8
2020-01-01,-10.7
2020-04-01,-10.5
2020-07-01,-11.2
2020-10-01,-11.1
2021-01-01,-11.5
2021-04-01,-13.6
2021-07-01,-13.6
2021-10-01,-14.7
2022-01-01,-16.1
2022-04-01,-17.4
2022-07-01,-17.4
2022-10-01,-20.8
2023-01-01,-21.8
2023-04-01,-22.8
2023-07-01,-22.0
2023-10-01,-22.5
2024-01-01,-21.8
2024-04-01,-20.9
2024-07-01,-20.6
2024-10-01,-19.6
2025-01-01,-19.6
