Tarih,TP_BISKREDIGSYIH_QMY2
2000-01-01,196.6
2000-04-01,197.2
2000-07-01,197.5
2000-10-01,197.6
2001-01-01,197.6
2001-04-01,197.6
2001-07-01,197.9
2001-10-01,198.3
2002-01-01,198.7
2002-04-01,199.0
2002-07-01,199.2
2002-10-01,199.2
2003-01-01,199.0
2003-04-01,198.7
2003-07-01,198.3
2003-10-01,197.7
2004-01-01,197.2
2004-04-01,196.6
2004-07-01,195.9
2004-10-01,194.9
2005-01-01,193.6
2005-04-01,192.2
2005-07-01,190.9
2005-10-01,189.5
2006-01-01,187.9
2006-04-01,186.3
2006-07-01,184.6
2006-10-01,183.0
2007-01-01,181.2
2007-04-01,179.5
2007-07-01,177.9
2007-10-01,176.1
2008-01-01,174.0
2008-04-01,171.8
2008-07-01,169.9
2008-10-01,168.0
2009-01-01,166.5
2009-04-01,165.3
2009-07-01,164.5
2009-10-01,163.9
2010-01-01,163.1
2010-04-01,162.3
2010-07-01,161.4
2010-10-01,160.6
2011-01-01,159.8
2011-04-01,159.1
2011-07-01,158.5
2011-10-01,158.0
2012-01-01,157.2
2012-04-01,156.8
2012-07-01,156.5
2012-10-01,156.2
2013-01-01,156.0
2013-04-01,156.0
2013-07-01,156.0
2013-10-01,156.0
2014-01-01,156.1
2014-04-01,156.0
2014-07-01,155.9
2014-10-01,155.9
2015-01-01,156.0
2015-04-01,156.2
2015-07-01,156.5
2015-10-01,156.9
2016-01-01,157.0
2016-04-01,157.2
2016-07-01,157.4
2016-10-01,157.8
2017-01-01,158.1
2017-04-01,158.3
2017-07-01,158.4
2017-10-01,158.5
2018-01-01,158.7
2018-04-01,158.9
2018-07-01,159.1
2018-10-01,159.4
2019-01-01,159.5
2019-04-01,159.8
2019-07-01,160.0
2019-10-01,160.2
2020-01-01,160.4
2020-04-01,161.2
2020-07-01,162.2
2020-10-01,163.3
2021-01-01,164.4
2021-04-01,165.1
2021-07-01,165.9
2021-10-01,166.5
2022-01-01,166.8
2022-04-01,166.8
2022-07-01,166.4
2022-10-01,165.9
2023-01-01,165.3
2023-04-01,164.8
2023-07-01,164.5
2023-10-01,164.3
2024-01-01,164.0
2024-04-01,163.7
2024-07-01,163.3
2024-10-01,163.0
2025-01-01,162.6
