Tarih,TP_BISKREDIGSYIH_QFI1
2000-01-01,114.2
2000-04-01,115.6
2000-07-01,121.4
2000-10-01,121.8
2001-01-01,121.5
2001-04-01,121.9
2001-07-01,120.2
2001-10-01,117.4
2002-01-01,124.4
2002-04-01,123.0
2002-07-01,122.2
2002-10-01,119.5
2003-01-01,120.1
2003-04-01,123.1
2003-07-01,124.0
2003-10-01,125.4
2004-01-01,127.0
2004-04-01,129.1
2004-07-01,129.1
2004-10-01,128.9
2005-01-01,129.2
2005-04-01,132.4
2005-07-01,132.4
2005-10-01,134.0
2006-01-01,137.6
2006-04-01,140.7
2006-07-01,142.1
2006-10-01,140.0
2007-01-01,141.2
2007-04-01,143.2
2007-07-01,143.4
2007-10-01,144.8
2008-01-01,144.6
2008-04-01,149.0
2008-07-01,152.2
2008-10-01,156.1
2009-01-01,161.3
2009-04-01,167.0
2009-07-01,164.4
2009-10-01,165.2
2010-01-01,169.2
2010-04-01,172.6
2010-07-01,170.8
2010-10-01,167.2
2011-01-01,168.0
2011-04-01,167.9
2011-07-01,167.6
2011-10-01,168.5
2012-01-01,169.5
2012-04-01,170.2
2012-07-01,170.8
2012-10-01,172.1
2013-01-01,176.8
2013-04-01,176.8
2013-07-01,176.7
2013-10-01,176.9
2014-01-01,176.1
2014-04-01,176.4
2014-07-01,176.8
2014-10-01,183.4
2015-01-01,188.2
2015-04-01,191.7
2015-07-01,194.4
2015-10-01,190.6
2016-01-01,187.3
2016-04-01,185.7
2016-07-01,183.4
2016-10-01,181.0
2017-01-01,182.8
2017-04-01,184.6
2017-07-01,186.9
2017-10-01,188.1
2018-01-01,187.8
2018-04-01,188.9
2018-07-01,188.9
2018-10-01,187.1
2019-01-01,187.9
2019-04-01,186.4
2019-07-01,186.3
2019-10-01,184.7
2020-01-01,185.4
2020-04-01,189.7
2020-07-01,191.0
2020-10-01,192.8
2021-01-01,195.3
2021-04-01,193.8
2021-07-01,192.8
2021-10-01,191.0
2022-01-01,191.0
2022-04-01,189.8
2022-07-01,188.9
2022-10-01,188.8
2023-01-01,187.5
2023-04-01,186.0
2023-07-01,184.8
2023-10-01,183.8
2024-01-01,183.7
2024-04-01,183.3
2024-07-01,183.1
2024-10-01,181.9
2025-01-01,180.9
