Tarih,TP_BISKREDIGSYIH_QMY1
2000-01-01,180.3
2000-04-01,176.5
2000-07-01,171.6
2000-10-01,168.9
2001-01-01,167.4
2001-04-01,169.5
2001-07-01,174.3
2001-10-01,177.6
2002-01-01,179.1
2002-04-01,178.9
2002-07-01,176.3
2002-10-01,174.5
2003-01-01,170.5
2003-04-01,170.3
2003-07-01,169.3
2003-10-01,165.7
2004-01-01,167.3
2004-04-01,166.7
2004-07-01,163.1
2004-10-01,159.2
2005-01-01,155.1
2005-04-01,151.7
2005-07-01,152.2
2005-10-01,152.0
2006-01-01,147.6
2006-04-01,146.5
2006-07-01,144.6
2006-10-01,144.7
2007-01-01,143.0
2007-04-01,141.9
2007-07-01,144.7
2007-10-01,138.6
2008-01-01,133.1
2008-04-01,131.2
2008-07-01,133.8
2008-10-01,135.4
2009-01-01,139.7
2009-04-01,144.9
2009-07-01,152.5
2009-10-01,154.9
2010-01-01,151.4
2010-04-01,149.8
2010-07-01,148.3
2010-10-01,150.5
2011-01-01,149.0
2011-04-01,149.8
2011-07-01,151.1
2011-10-01,152.9
2012-01-01,148.9
2012-04-01,154.0
2012-07-01,154.6
2012-10-01,155.7
2013-01-01,157.5
2013-04-01,159.6
2013-07-01,159.8
2013-10-01,161.5
2014-01-01,160.8
2014-04-01,158.9
2014-07-01,157.5
2014-10-01,159.6
2015-01-01,161.6
2015-04-01,163.3
2015-07-01,164.8
2015-10-01,165.8
2016-01-01,162.8
2016-04-01,162.2
2016-07-01,164.0
2016-10-01,166.4
2017-01-01,164.8
2017-04-01,163.9
2017-07-01,162.1
2017-10-01,161.9
2018-01-01,162.8
2018-04-01,164.9
2018-07-01,164.1
2018-10-01,164.0
2019-01-01,163.5
2019-04-01,165.1
2019-07-01,163.9
2019-10-01,164.2
2020-01-01,165.1
2020-04-01,175.5
2020-07-01,178.7
2020-10-01,181.8
2021-01-01,182.9
2021-04-01,176.0
2021-07-01,176.9
2021-10-01,174.7
2022-01-01,170.5
2022-04-01,164.4
2022-07-01,156.3
2022-10-01,154.1
2023-01-01,153.3
2023-04-01,155.7
2023-07-01,157.3
2023-10-01,159.1
2024-01-01,158.9
2024-04-01,157.7
2024-07-01,155.5
2024-10-01,156.9
2025-01-01,157.0
