Tarih,TP_BISKREDIGSYIH_QSA2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,34.3
2003-04-01,34.4
2003-07-01,34.6
2003-10-01,34.6
2004-01-01,34.4
2004-04-01,34.5
2004-07-01,34.8
2004-10-01,35.2
2005-01-01,35.4
2005-04-01,35.9
2005-07-01,36.3
2005-10-01,36.8
2006-01-01,37.1
2006-04-01,37.4
2006-07-01,37.6
2006-10-01,37.9
2007-01-01,38.2
2007-04-01,38.7
2007-07-01,39.4
2007-10-01,40.0
2008-01-01,40.5
2008-04-01,40.9
2008-07-01,41.2
2008-10-01,41.6
2009-01-01,42.2
2009-04-01,43.1
2009-07-01,44.2
2009-10-01,45.0
2010-01-01,45.6
2010-04-01,46.1
2010-07-01,46.4
2010-10-01,46.6
2011-01-01,46.8
2011-04-01,46.8
2011-07-01,46.7
2011-10-01,46.5
2012-01-01,46.3
2012-04-01,46.1
2012-07-01,45.8
2012-10-01,45.5
2013-01-01,45.3
2013-04-01,45.2
2013-07-01,45.2
2013-10-01,45.2
2014-01-01,45.3
2014-04-01,45.4
2014-07-01,45.6
2014-10-01,45.8
2015-01-01,46.1
2015-04-01,46.5
2015-07-01,47.1
2015-10-01,47.8
2016-01-01,48.7
2016-04-01,49.7
2016-07-01,50.6
2016-10-01,51.4
2017-01-01,52.0
2017-04-01,52.7
2017-07-01,53.2
2017-10-01,53.6
2018-01-01,54.1
2018-04-01,54.3
2018-07-01,54.5
2018-10-01,54.5
2019-01-01,54.5
2019-04-01,54.6
2019-07-01,54.8
2019-10-01,55.0
2020-01-01,55.5
2020-04-01,56.3
2020-07-01,57.4
2020-10-01,58.7
2021-01-01,60.0
2021-04-01,61.1
2021-07-01,62.1
2021-10-01,62.7
2022-01-01,63.2
2022-04-01,63.5
2022-07-01,63.7
2022-10-01,63.9
2023-01-01,64.0
2023-04-01,64.3
2023-07-01,64.7
2023-10-01,65.1
2024-01-01,65.6
2024-04-01,66.1
2024-07-01,66.7
2024-10-01,67.3
2025-01-01,68.1
