Tarih,TP_BISKREDIGSYIH_QDK1
2000-01-01,153.8
2000-04-01,154.5
2000-07-01,158.1
2000-10-01,157.4
2001-01-01,162.7
2001-04-01,165.7
2001-07-01,169.4
2001-10-01,173.2
2002-01-01,173.1
2002-04-01,171.6
2002-07-01,172.5
2002-10-01,170.3
2003-01-01,175.4
2003-04-01,177.9
2003-07-01,178.8
2003-10-01,177.5
2004-01-01,183.0
2004-04-01,183.9
2004-07-01,185.1
2004-10-01,186.3
2005-01-01,192.8
2005-04-01,196.6
2005-07-01,199.1
2005-10-01,205.1
2006-01-01,211.2
2006-04-01,216.0
2006-07-01,220.8
2006-10-01,226.4
2007-01-01,228.5
2007-04-01,232.0
2007-07-01,234.4
2007-10-01,240.2
2008-01-01,244.1
2008-04-01,247.4
2008-07-01,248.0
2008-10-01,250.9
2009-01-01,256.6
2009-04-01,259.6
2009-07-01,266.1
2009-10-01,270.9
2010-01-01,273.0
2010-04-01,269.9
2010-07-01,265.0
2010-10-01,260.3
2011-01-01,258.6
2011-04-01,259.1
2011-07-01,264.8
2011-10-01,266.2
2012-01-01,268.6
2012-04-01,269.2
2012-07-01,264.7
2012-10-01,265.5
2013-01-01,260.5
2013-04-01,258.6
2013-07-01,257.3
2013-10-01,255.3
2014-01-01,255.6
2014-04-01,253.2
2014-07-01,259.7
2014-10-01,258.5
2015-01-01,260.2
2015-04-01,257.0
2015-07-01,259.9
2015-10-01,258.9
2016-01-01,259.8
2016-04-01,261.1
2016-07-01,263.3
2016-10-01,258.8
2017-01-01,258.0
2017-04-01,255.5
2017-07-01,251.8
2017-10-01,252.1
2018-01-01,252.2
2018-04-01,254.4
2018-07-01,253.9
2018-10-01,252.1
2019-01-01,256.2
2019-04-01,258.4
2019-07-01,261.1
2019-10-01,262.4
2020-01-01,247.5
2020-04-01,251.4
2020-07-01,237.2
2020-10-01,238.1
2021-01-01,238.8
2021-04-01,234.7
2021-07-01,233.7
2021-10-01,229.9
2022-01-01,225.3
2022-04-01,220.9
2022-07-01,220.4
2022-10-01,220.4
2023-01-01,221.8
2023-04-01,215.4
2023-07-01,219.6
2023-10-01,226.1
2024-01-01,226.1
2024-04-01,225.2
2024-07-01,223.4
2024-10-01,219.2
2025-01-01,216.6
