Tarih,TP_BISKREDIGSYIH_QES3
2000-01-01,21.4
2000-04-01,23.9
2000-07-01,26.5
2000-10-01,26.9
2001-01-01,25.9
2001-04-01,27.2
2001-07-01,28.6
2001-10-01,28.6
2002-01-01,28.7
2002-04-01,28.0
2002-07-01,26.4
2002-10-01,27.0
2003-01-01,26.2
2003-04-01,26.5
2003-07-01,26.0
2003-10-01,28.5
2004-01-01,28.6
2004-04-01,30.9
2004-07-01,30.2
2004-10-01,31.9
2005-01-01,32.6
2005-04-01,35.5
2005-07-01,34.7
2005-10-01,37.2
2006-01-01,39.7
2006-04-01,41.3
2006-07-01,41.6
2006-10-01,44.4
2007-01-01,43.6
2007-04-01,47.3
2007-07-01,44.9
2007-10-01,42.8
2008-01-01,37.8
2008-04-01,37.0
2008-07-01,34.3
2008-10-01,32.3
2009-01-01,31.0
2009-04-01,29.8
2009-07-01,28.0
2009-10-01,25.9
2010-01-01,23.4
2010-04-01,22.8
2010-07-01,17.9
2010-10-01,13.7
2011-01-01,8.5
2011-04-01,5.9
2011-07-01,2.1
2011-10-01,-1.0
2012-01-01,-2.7
2012-04-01,-4.5
2012-07-01,-7.6
2012-10-01,-16.8
2013-01-01,-20.9
2013-04-01,-23.9
2013-07-01,-27.0
2013-10-01,-29.7
2014-01-01,-33.3
2014-04-01,-35.7
2014-07-01,-38.4
2014-10-01,-43.2
2015-01-01,-45.0
2015-04-01,-47.5
2015-07-01,-50.6
2015-10-01,-52.5
2016-01-01,-53.5
2016-04-01,-52.7
2016-07-01,-53.9
2016-10-01,-53.6
2017-01-01,-53.7
2017-04-01,-54.1
2017-07-01,-55.3
2017-10-01,-55.6
2018-01-01,-54.9
2018-04-01,-52.8
2018-07-01,-52.4
2018-10-01,-51.7
2019-01-01,-50.3
2019-04-01,-48.1
2019-07-01,-46.9
2019-10-01,-46.3
2020-01-01,-43.4
2020-04-01,-30.1
2020-07-01,-26.3
2020-10-01,-20.7
2021-01-01,-18.4
2021-04-01,-22.0
2021-07-01,-24.7
2021-10-01,-26.7
2022-01-01,-29.9
2022-04-01,-31.0
2022-07-01,-32.3
2022-10-01,-34.5
2023-01-01,-36.3
2023-04-01,-36.3
2023-07-01,-37.6
2023-10-01,-37.0
2024-01-01,-35.2
2024-04-01,-33.2
2024-07-01,-32.3
2024-10-01,-32.4
2025-01-01,-31.2
