Tarih,TP_BISKREDIGSYIH_QDK3
2000-01-01,-1.2
2000-04-01,-0.7
2000-07-01,2.7
2000-10-01,1.7
2001-01-01,6.5
2001-04-01,8.7
2001-07-01,11.5
2001-10-01,14.3
2002-01-01,13.2
2002-04-01,10.8
2002-07-01,10.8
2002-10-01,7.8
2003-01-01,12.0
2003-04-01,13.3
2003-07-01,13.1
2003-10-01,10.8
2004-01-01,15.1
2004-04-01,14.7
2004-07-01,14.6
2004-10-01,14.5
2005-01-01,19.4
2005-04-01,21.5
2005-07-01,22.1
2005-10-01,26.0
2006-01-01,29.7
2006-04-01,32.0
2006-07-01,34.1
2006-10-01,36.8
2007-01-01,36.0
2007-04-01,36.5
2007-07-01,35.8
2007-10-01,38.4
2008-01-01,38.9
2008-04-01,38.9
2008-07-01,36.2
2008-10-01,35.7
2009-01-01,37.9
2009-04-01,37.3
2009-07-01,40.0
2009-10-01,41.0
2010-01-01,39.2
2010-04-01,32.6
2010-07-01,24.5
2010-10-01,17.1
2011-01-01,12.9
2011-04-01,11.0
2011-07-01,14.1
2011-10-01,12.9
2012-01-01,12.6
2012-04-01,10.8
2012-07-01,4.2
2012-10-01,2.9
2013-01-01,-3.8
2013-04-01,-7.2
2013-07-01,-9.8
2013-10-01,-12.9
2014-01-01,-13.7
2014-04-01,-16.9
2014-07-01,-11.5
2014-10-01,-13.7
2015-01-01,-13.1
2015-04-01,-17.0
2015-07-01,-14.9
2015-10-01,-16.7
2016-01-01,-16.4
2016-04-01,-15.9
2016-07-01,-14.4
2016-10-01,-19.4
2017-01-01,-20.5
2017-04-01,-23.3
2017-07-01,-26.8
2017-10-01,-26.5
2018-01-01,-26.2
2018-04-01,-24.0
2018-07-01,-24.4
2018-10-01,-25.9
2019-01-01,-21.8
2019-04-01,-19.7
2019-07-01,-17.2
2019-10-01,-16.0
2020-01-01,-30.3
2020-04-01,-26.0
2020-07-01,-38.9
2020-10-01,-36.8
2021-01-01,-35.0
2021-04-01,-37.7
2021-07-01,-37.4
2021-10-01,-39.6
2022-01-01,-42.4
2022-04-01,-44.7
2022-07-01,-43.3
2022-10-01,-41.4
2023-01-01,-38.0
2023-04-01,-42.3
2023-07-01,-36.2
2023-10-01,-28.3
2024-01-01,-26.9
2024-04-01,-26.4
2024-07-01,-26.7
2024-10-01,-29.2
2025-01-01,-30.0
