Tarih,TP_BISKREDIGSYIH_QMX1
2000-01-01,25.0
2000-04-01,25.4
2000-07-01,24.5
2000-10-01,24.0
2001-01-01,23.5
2001-04-01,22.5
2001-07-01,22.6
2001-10-01,22.6
2002-01-01,22.1
2002-04-01,23.0
2002-07-01,23.2
2002-10-01,23.5
2003-01-01,23.3
2003-04-01,23.1
2003-07-01,23.5
2003-10-01,23.7
2004-01-01,23.6
2004-04-01,23.3
2004-07-01,23.1
2004-10-01,22.9
2005-01-01,23.0
2005-04-01,22.9
2005-07-01,22.5
2005-10-01,23.0
2006-01-01,23.1
2006-04-01,23.6
2006-07-01,23.6
2006-10-01,24.4
2007-01-01,24.7
2007-04-01,24.8
2007-07-01,25.7
2007-10-01,27.0
2008-01-01,27.0
2008-04-01,26.8
2008-07-01,27.5
2008-10-01,28.6
2009-01-01,29.3
2009-04-01,28.9
2009-07-01,29.1
2009-10-01,28.9
2010-01-01,28.6
2010-04-01,28.8
2010-07-01,28.5
2010-10-01,28.5
2011-01-01,28.9
2011-04-01,28.9
2011-07-01,30.4
2011-10-01,30.6
2012-01-01,29.8
2012-04-01,30.1
2012-07-01,30.2
2012-10-01,30.6
2013-01-01,30.4
2013-04-01,31.5
2013-07-01,32.6
2013-10-01,33.7
2014-01-01,33.7
2014-04-01,34.0
2014-07-01,34.3
2014-10-01,35.2
2015-01-01,35.5
2015-04-01,36.2
2015-07-01,37.8
2015-10-01,38.3
2016-01-01,39.3
2016-04-01,40.4
2016-07-01,41.1
2016-10-01,41.5
2017-01-01,39.9
2017-04-01,39.3
2017-07-01,40.0
2017-10-01,41.4
2018-01-01,40.4
2018-04-01,41.4
2018-07-01,40.4
2018-10-01,40.7
2019-01-01,40.8
2019-04-01,41.0
2019-07-01,40.9
2019-10-01,40.1
2020-01-01,44.1
2020-04-01,45.3
2020-07-01,44.8
2020-10-01,42.8
2021-01-01,42.9
2021-04-01,40.6
2021-07-01,40.5
2021-10-01,40.3
2022-01-01,39.7
2022-04-01,39.6
2022-07-01,39.3
2022-10-01,38.7
2023-01-01,37.6
2023-04-01,37.0
2023-07-01,37.2
2023-10-01,37.0
2024-01-01,36.8
2024-04-01,37.7
2024-07-01,38.2
2024-10-01,39.0
2025-01-01,38.8
